	Word	PoS	FrSp		LogLike	FrWr
	interests	NoC	29	-	839.4	113
	believed	Verb	17	-	839.4	90
	flats	NoC	64	+	839.4	14
	United	NoP-	36	-	838.5	124
	above	Prep	49	-	838.1	147
	trying	Verb	311	+	836.7	171
	technology	NoC	38	-	836.1	127
	out	Prep	43	+	835.6	6
	significant	Adj	39	-	835.1	130
	moreover	Adv	1	-	834.1	48
	official	Adj	15	-	834.0	84
	1980s	Num	0	-	832.6	42
	sea	NoC	45	-	832.2	140
	29	Num	0	-	831.7	45
	write	Verb	206	+	828.4	97
	received	Verb	46	-	828.1	140
	hmm	Int	35	+	826.9	3
	A. / a.	Lett	19	+	823.8	0
	Japan	NoP	10	-	822.3	72
	exchange	NoC	18	-	822.2	89
	Henry	NoP	14	-	819.8	81
	twelfths	Num	18	+	817.2	0
	affairs	NoC	13	-	816.9	80
	most	DetP	261	-	814.4	441
	video-taped	Adj	0	-	813.8	42
	director	NoC	41	-	813.6	131
	event	NoC	30	-	813.3	112
	remain	Verb	23	-	809.5	98
	later	Adv	179	-	809.4	333
	given	Verb	224	-	806.4	392
	attention	NoC	51	-	805.8	147
	phone	NoC	144	+	805.3	58
	industrial	Adj	38	-	804.5	125
	Air	NoC	86	-	803.2	201
	1978	Num	0	-	803.1	42
	as if	Conj	64	-	802.5	167
	tea	NoC	172	+	801.9	76
	effects	NoC	33	-	801.8	116
	60	Num	1	-	799.7	46
	regarded	Verb	13	-	799.2	77
	influence	NoC	17	-	798.4	87
	Scotland	NoP	47	-	796.3	140
	male	Adj	22	-	795.1	96
	so	Conj	400	+	793.9	241
	Paris	NoP	8	-	793.5	67
	career	NoC	16	-	793.2	84
	physical	Adj	26	-	791.6	103
	phone	Verb	53	+	790.1	10
	oi	Int	28	+	790.0	2
	sort	Verb	62	+	787.7	14
	values	NoC	15	-	786.4	82
	beneath	Prep	3	-	785.3	53
	1976	Num	0	-	784.9	40
	exactly	Adv	201	+	782.9	96
	suggests	Verb	12	-	781.6	74
	property	NoC	45	-	781.5	135
	William	NoP	20	-	779.4	91
	rights	NoC	48	-	778.6	139
	finally	Adv	48	-	775.7	140
	nuclear	Adj	19	-	775.2	88
	museum	NoC	12	-	775.2	74
	hotel	NoC	38	-	775.1	123
	failed	Verb	23	-	774.2	96
	young	Adj	180	-	772.4	330
	thinking	Verb	179	+	771.9	82
	failure	NoC	17	-	771.9	85
	alone	Adv	15	-	771.8	80
	looked	Verb	209	-	771.5	368
	status	NoC	23	-	769.8	95
	1977	Num	0	-	768.4	41
	phoned	Verb	49	+	766.9	9
	being	Verb	634	-	763.5	888
	little	Adv	3	-	762.7	49
	institutions	NoC	11	-	760.9	71
	association	NoC	39	-	760.7	124
	Unix	NoP	2	-	760.2	47
	summat	Pron	29	+	760.2	2
	off	Prep	341	+	759.6	199
	wait	Verb	166	+	755.9	74
	higher	Adj	66	-	755.3	167
	existence	NoC	12	-	754.6	72
	let	Verb	390	+	753.5	237
	collection	NoC	18	-	753.1	85
	modern	Adj	50	-	752.5	141
	sources	NoC	12	-	752.3	73
	professional	Adj	33	-	751.4	113
	return	Verb	18	-	751.4	84
	fuck	Verb	41	+	750.5	6
	energy	NoC	44	-	749.9	131
	leaders	NoC	15	-	748.8	79
	rate	NoC	89	-	748.2	200
	couple	NoC	220	+	748.1	111
	over here	Adv	40	+	746.7	6
	1970s	Num	0	-	745.4	38
	argued	Verb	11	-	745.2	71
	arrived	Verb	24	-	742.9	96
	task	NoC	26	-	741.7	100
	care	NoC	95	-	741.6	209
	return	NoC	23	-	741.3	95
	pupils	NoC	20	-	741.0	88
	ref	NoC	1	-	740.3	44
	meaning	NoC	12	-	740.2	72
	style	NoC	35	-	739.5	115
	finish	Verb	80	+	738.1	23
	A / a	Lett	405	+	737.6	250
	determined	Verb	10	-	737.1	67
	Ireland	NoP	29	-	735.6	104
	powerful	Adj	15	-	734.6	79
	putting	Verb	153	+	734.4	67
	silence	NoC	8	-	733.1	62
	themselves	Pron	124	-	732.9	250
	field	NoC	58	-	731.4	153
	noted	Verb	10	-	730.7	67
	chap	NoC	55	+	730.2	11
	No.	NoC	0	-	729.9	37
	expression	NoC	17	-	729.6	81
	1975	Num	0	-	726.5	38
	aargh	Int	16	+	726.2	0
	presented	Verb	20	-	725.6	87
	child	NoC	130	-	725.1	257
	proved	Verb	14	-	723.9	75
	visit	NoC	18	-	723.6	83
	shares	NoC	19	-	723.0	86
	widely	Adv	8	-	722.9	62
	season	NoC	37	-	722.0	118
	aunty	NoC	20	+	721.7	1
	beyond	Prep	35	-	719.5	114
	variety	NoC	24	-	717.4	95
	gosh	Int	25	+	717.3	1
	B. / b.	Lett	15	+	716.1	0
	merely	Adv	18	-	715.6	83
	section	NoC	89	-	715.5	197
	lifespan	NoC	1	-	715.2	41
	little	NoC	15	+	713.2	0
	caused	Verb	29	-	712.1	103
	horrible	Adj	56	+	712.1	12
	DNA	NoC	0	-	711.2	37
	intended	Verb	15	-	710.9	76
	left	Adj	29	-	710.9	102
	highly	Adv	27	-	710.5	99
	June	NoP	61	-	710.0	156
	listen	Verb	125	+	709.4	50
	v	Prep	0	-	709.3	36
	observed	Verb	4	-	708.4	51
	showed	Verb	36	-	706.8	115
	apparent	Adj	7	-	706.1	58
	created	Verb	23	-	705.7	92
	formed	Verb	15	-	704.0	77
	lack	NoC	27	-	703.5	98
	entered	Verb	10	-	702.6	65
	condition	NoC	22	-	701.9	90
	refused	Verb	12	-	700.0	69
	hope	Verb	206	+	698.3	104
	models	NoC	7	-	697.5	58
	players	NoC	22	-	696.8	89
	associated	Verb	17	-	696.7	80
	lips	NoC	6	-	696.6	55
	relationship	NoC	51	-	695.8	138
	main	Adj	133	-	695.7	258
	university	NoC	75	-	695.4	175
	heart	NoC	56	-	695.3	147
	increasingly	Adv	14	-	695.2	73
	lay	Verb	28	-	694.7	100
	October	NoP	36	-	694.0	114
	Oct.	NoP	0	-	693.8	35
	subjects	NoC	19	-	693.7	84
	revealed	Verb	7	-	692.1	58
	method	NoC	27	-	690.5	98
	cheerio	Int	18	+	688.7	0
	workers	NoC	63	-	688.2	157
	shut	Verb	107	+	687.9	40
	shop	NoC	188	+	687.6	92
	as it were	Adv	41	+	686.6	7
	user	NoC	11	-	685.9	66
	Jan.	NoP	0	-	682.6	35
	certainly	Adv	299	+	682.1	173
	a lot	Adv	96	+	681.7	34
	terms	NoC	76	-	681.3	176
	present	Adj	65	-	680.9	158
	hell	NoC	118	+	680.5	46
	rid	Verb	73	+	680.3	21
	finished	Verb	155	+	680.2	70
	risk	NoC	36	-	677.2	112
	dee	Uncl	17	+	677.2	0
	differences	NoC	20	-	676.5	85
	details	NoC	44	-	676.3	126
	him	Pron	1348	-	676.1	1684
	Germany	NoP	37	-	675.9	114
	construction	NoC	13	-	673.3	69
	organisation	NoC	24	-	673.1	90
	absence	NoC	10	-	672.2	63
	slowly	Adv	21	-	671.8	86
	contemporary	Adj	4	-	671.2	49
	appearance	NoC	8	-	669.9	60
	Co / CO	NoC	3	-	669.9	44
	individual	Adj	57	-	669.2	145
	services	NoC	138	-	668.6	262
	grandma	NoC	28	+	668.1	2
	1974	Num	0	-	667.8	36
	markets	NoC	11	-	667.2	64
	states	NoC	20	-	666.8	83
	after	Conj	126	-	665.0	245
	essential	Adj	26	-	663.8	94
	hands	NoC	94	-	663.1	199
	needed	Verb	77	-	662.3	175
	stop	Verb	225	+	661.8	120
	marriage	NoC	21	-	660.4	85
	president	NoC	76	-	660.1	174
	second	Ord	224	-	659.4	373
	community	NoC	125	-	658.5	243
	labour*	NoC	58	-	657.8	146
	might	VMod	809	+	657.1	592
	suddenly	Adv	45	-	655.8	126
	those	DetP	1121	+	655.4	861
	in order	ClO	54	-	653.9	140
	Sept.	NoP	0	-	652.6	33
	i.e.	Adv	5	-	652.5	50
	etc	Adv	7	-	652.2	55
	team	NoC	93	-	651.8	197
	member	NoC	85	-	649.6	185
	C. / c.	Lett	23	+	648.8	1
	Edward	NoP	16	-	647.5	75
	frequently	Adv	11	-	647.1	63
	officials	NoC	13	-	646.8	67
	techniques	NoC	11	-	646.6	65
	next	Ord	594	+	645.9	412
	Japanese	Adj	8	-	644.8	56
	in addition	Adv	5	-	644.4	49
	bother	Verb	64	+	643.5	17
	business	NoC	225	-	643.4	373
	200	Num	1	-	643.3	39
	hence	Adv	6	-	643.0	53
	text	NoC	21	-	642.5	83
	sexual	Adj	17	-	641.9	75
	materials	NoC	16	-	641.4	74
	levels	NoC	48	-	641.3	129
	financial	Adj	78	-	641.1	175
	stupid	Adj	83	+	640.5	27
	Nov.	NoP	0	-	639.9	33
	X / x	Lett	124	+	639.0	52
	replaced	Verb	11	-	638.1	62
	ministers	NoC	16	-	637.8	74
	patient	NoC	17	-	636.7	75
	ensure	Verb	37	-	636.5	111
	support	NoC	104	-	636.4	212
	ancient	Adj	8	-	634.7	55
	1960s	Num	0	-	634.5	34
	sought	Verb	9	-	634.4	58
	lower	Adj	42	-	630.0	119
	effective	Adj	35	-	628.5	107
	opened	Verb	45	-	628.2	124
	over	Prep	543	-	627.6	757
	products	NoC	39	-	626.6	114
	both	DetP	189	-	626.5	324
	directly	Adv	28	-	626.0	95
	final	Adj	54	-	625.6	137
	any	DetP	1484	+	624.8	1189
	West	NoP-	28	-	624.7	95
	largest	Adj	11	-	624.2	63
	complex	Adj	19	-	624.2	78
	Harrogate	NoP	33	+	623.8	4
	yours	Pron	97	+	623.7	36
	Dec.	NoP	0	-	622.2	32
	MP	NoC	1	-	622.2	36
	prevent	Verb	17	-	621.1	74
	Thursday	NoP	88	+	620.8	31
	until	Conj	137	-	619.5	254
	civil	Adj	27	-	619.3	93
	current	Adj	58	-	619.0	142
	1973	Num	0	-	616.9	33
	treaty	NoC	8	-	616.3	55
	containing	Verb	4	-	616.2	45
	church	NoC	107	-	615.8	214
	attempts	NoC	6	-	615.2	51
	capital	NoC	57	-	615.0	141
	leading	Adj	13	-	614.1	67
	unable	Adj	15	-	612.8	69
	stick	Verb	68	+	612.6	20
	appears	Verb	22	-	611.5	83
	hi	Int	37	+	610.9	6
	democratic	Adj	13	-	609.3	65
	until	Prep	82	-	608.0	177
	especially	Adv	89	-	607.9	187
	manner	NoC	13	-	607.0	66
	strong	Adj	77	-	606.9	170
	use	Verb	455	+	605.8	303
	times	Prep	29	+	605.6	3
	expressed	Verb	18	-	605.1	75
	discipline	NoC	11	-	604.5	60
	A.	NoP	0	-	604.4	31
	admitted	Verb	11	-	602.9	62
	formation	NoC	4	-	602.8	44
	local	Adj	301	-	602.0	462
	no longer	Adv	29	-	601.7	95
	version	NoC	25	-	601.7	88
	et al	Adv	0	-	599.8	33
	principles	NoC	12	-	599.0	62
	relationships	NoC	13	-	598.0	65
	subsequent	Adj	5	-	597.8	48
	commercial	Adj	24	-	596.3	85
	offers	Verb	6	-	594.5	50
	politics	NoC	21	-	593.7	81
	army	NoC	46	-	593.4	122
	taping	Verb	17	+	593.2	0
	y'know	Uncl	14	+	593.2	0
	ought	VMod	123	+	592.7	54
	unknown	Adj	5	-	592.1	48
	scientific	Adj	13	-	591.5	65
	IV / iv	Num	0	-	591.4	31
	dark	Adj	39	-	591.3	111
	author	NoC	5	-	591.0	48
	achieved	Verb	24	-	590.0	86
	bottom	NoC	117	+	589.6	50
	prince	NoC	13	-	589.5	64
	science	NoC	41	-	589.0	113
	internal	Adj	17	-	587.0	73
	accompanied	Verb	2	-	587.0	37
	huh	Int	27	+	586.7	3
	measures	NoC	16	-	585.3	71
	previous	Adj	52	-	583.6	131
	leave	Verb	289	+	583.0	173
	institution	NoC	8	-	582.8	54
	Feb.	NoP	0	-	582.3	30
	1972	Num	0	-	582.1	30
	peace	NoC	30	-	580.0	95
	realised	Verb	8	-	580.0	54
	Middlesbrough	NoP	3	-	579.2	40
	ho	Int	23	+	579.0	2
	begun	Verb	5	-	578.9	47
	m.	NoC	0	-	578.8	29
	principal	Adj	4	-	578.7	44
	hopefully	Adv	56	+	578.3	15
	demand	NoC	30	-	577.3	95
	hand	NoC	221	-	576.7	358
	demanded	Verb	3	-	576.5	41
	includes	Verb	18	-	576.2	73
	victory	NoC	12	-	574.5	61
	readers	NoC	7	-	574.4	51
	throughout	Prep	48	-	574.2	124
	department	NoC	91	-	573.9	187
	around	Prep	137	-	572.9	249
	appointed	Verb	14	-	572.7	66
	first	Ord	957	-	572.0	1220
	goods	NoC	39	-	571.8	109
	Russian	Adj	10	-	571.8	57
	glanced	Verb	1	-	571.7	33
	standards	NoC	36	-	571.5	103
	instead	Adv	22	-	570.0	81
	republic	NoC	6	-	569.3	48
	suggested	Verb	42	-	569.2	114
	position	NoC	130	-	568.9	240
	introduced	Verb	29	-	568.6	92
	recognised	Verb	6	-	567.7	47
	thought	NoC	35	-	567.3	102
	Tuesday	NoP	83	+	565.3	30
	bank	NoC	85	-	565.0	177
	direct	Adj	41	-	564.2	112
	firms	NoC	23	-	564.2	81
	requires	Verb	11	-	563.0	58
	form	Verb	25	-	562.0	85
	similarly	Adv	7	-	561.8	49
	hoped	Verb	10	-	561.6	56
	forced	Verb	23	-	560.3	80
	courts	NoC	14	-	559.9	65
	users	NoC	17	-	559.9	71
	pretty	Adv	108	+	559.5	45
	special	Adj	125	-	559.4	231
	academic	Adj	8	-	559.3	51
	hour	NoC	194	+	559.1	104
	taken	Verb	231	-	559.0	369
	Aug.	NoP	0	-	558.9	28
	meanwhile	Adv	8	-	558.5	53
	reader	NoC	5	-	557.7	45
	war	NoC	170	-	556.9	291
	change	NoC	110	-	556.3	212
	administration	NoC	18	-	555.8	72
	plants	NoC	21	-	555.7	78
	rates	NoC	48	-	555.1	122
	operations	NoC	15	-	554.6	66
	seconded	Verb	26	+	554.4	3
	compared	Verb	31	-	554.4	95
	initial	Adj	16	-	554.2	68
	declared	Verb	6	-	552.7	47
	centre	NoC	133	-	552.3	242
	larger	Adj	24	-	552.1	82
	parliament	NoC	37	-	551.8	104
	successful	Adj	44	-	551.6	115
	investigation	NoC	10	-	551.1	56
	commission	NoC	40	-	550.6	110
	maths	NoC	37	+	550.1	7
	Smith	NoP	26	-	549.3	85
	manager	NoC	65	-	548.8	147
	time	NoC	1819	+	548.7	1509
	bothered	Verb	46	+	548.4	11
	banks	NoC	18	-	547.8	72
	river	NoC	35	-	547.7	101
	due to	Prep	25	-	547.5	84
	cause	NoC	22	-	547.0	78
	emerged	Verb	4	-	546.2	42
	tour	NoC	13	-	546.2	62
	80	Num	0	-	544.9	29
	original	Adj	44	-	544.5	115
	battle	NoC	17	-	544.3	69
	institute	NoC	11	-	544.0	58
	total	Adj	54	-	543.6	130
	primary	Adj	30	-	543.1	92
	island	NoC	18	-	543.0	72
	independent	Adj	38	-	542.2	105
	date	NoC	80	-	541.7	167
	sorted	Verb	42	+	541.6	9
	1971	Num	0	-	541.2	29
	soon	Adv	82	-	540.3	170
	desire	NoC	10	-	540.1	55
	tape	Verb	19	+	539.5	1
	Africa	NoP	26	-	539.4	84
	up	Prep	151	+	539.3	75
	spokesman	NoC	5	-	538.7	44
	single	Adj	94	-	538.6	187
	NHS	NoP	0	-	538.5	27
	image	NoC	24	-	538.2	81
	country	NoC	204	-	538.0	332
	years	NoC	704	-	537.9	925
	laughed	Verb	9	-	537.3	53
	God	NoP	305	+	536.0	190
	literature	NoC	11	-	535.7	57
	efforts	NoC	13	-	535.1	61
	1970	Num	0	-	535.1	29
	economy	NoC	43	-	535.0	112
	December	NoP	35	-	534.9	100
	senior	Adj	28	-	534.8	89
	immediate	Adj	16	-	534.7	66
	recognition	NoC	14	-	534.6	63
	January	NoP	41	-	534.5	109
	cabinet	NoC	18	-	534.5	71
	processes	NoC	12	-	534.0	58
	increased	Verb	23	-	533.8	79
	experience	NoC	103	-	532.5	198
	historical	Adj	13	-	532.0	60
	extensive	Adj	6	-	531.9	45
	belief	NoC	11	-	531.4	56
	till	Conj	64	+	531.4	20
	respectively	Adv	2	-	531.0	36
	acquired	Verb	4	-	530.9	41
	guy	NoC	63	+	530.4	20
	real	Adj	132	-	530.3	238
	campaign	NoC	34	-	530.0	98
	before	Adv	230	+	529.7	133
	no	Det	1102	-	529.1	1371
	wide	Adj	48	-	529.0	120
	1968	Num	0	-	528.4	27
	age	NoC	124	-	528.4	226
	progress	NoC	25	-	528.3	82
	asked	Verb	218	-	528.2	348
	strength	NoC	22	-	528.0	77
	rules	NoC	43	-	527.5	112
	share	NoC	28	-	527.4	88
	student	NoC	25	-	526.0	82
	medical	Adj	35	-	525.7	100
	Wednesday	NoP	95	+	525.5	38
	artists	NoC	6	-	525.2	45
	gallery	NoC	7	-	524.9	47
	father	NoC	142	-	524.6	251
	rise	NoC	22	-	523.4	77
	Ryedale	NoP	17	+	523.0	1
	contain	Verb	8	-	522.9	49
	require	Verb	21	-	522.7	74
	ended	Verb	23	-	522.6	78
	derived	Verb	3	-	522.4	37
	birthday	NoC	77	+	522.1	27
	currency	NoC	4	-	521.9	39
	via	Prep	8	-	521.5	49
	70	Num	1	-	521.3	29
	unlike	Prep	6	-	519.9	44
	justice	NoC	20	-	519.8	73
	female	Adj	16	-	519.5	65
	scene	NoC	20	-	518.9	74
	contains	Verb	8	-	518.6	50
	down	Prep	170	+	518.2	90
	movements	NoC	7	-	517.8	48
	spell	Verb	36	+	516.5	7
	confirmed	Verb	10	-	516.0	53
	tears	NoC	7	-	516.0	47
	happen	Verb	156	+	515.9	80
	Thomas	NoP	20	-	515.5	73
	arrival	NoC	3	-	515.3	38
	treated	Verb	21	-	514.8	74
	relatively	Adv	27	-	514.8	85
	general	NoC	7	-	514.4	47
	launched	Verb	8	-	514.0	49
	35	Num	0	-	513.6	28
	leader	NoC	36	-	513.1	99
	proceedings	NoC	7	-	512.7	47
	theories	NoC	4	-	510.3	40
	part	NoC	355	-	510.2	512
	centuries	NoC	4	-	509.7	39
	yourself	Pron	182	+	509.7	99
	q.v.	Uncl	0	-	509.6	26
	sounds	Verb	78	+	509.0	29
	identity	NoC	6	-	508.4	44
	forms	NoC	40	-	508.2	105
	past	Adj	34	-	508.2	95
	factors	NoC	32	-	507.8	93
	domestic	Adj	21	-	507.5	74
	Jones	NoP	9	-	507.2	51
	immediately	Adv	42	-	507.1	109
	previously	Adv	21	-	506.8	74
	contained	Verb	10	-	506.8	53
	order	NoC	111	-	506.7	207
	media	NoC	28	-	506.5	86
	beside	Prep	15	-	506.2	63
	shows	Verb	40	-	504.9	105
	woman	NoC	138	-	504.1	243
	fell	Verb	42	-	503.8	108
	pointed	Verb	15	-	503.1	62
	T. / t.	Lett	11	+	503.1	0
	literary	Adj	3	-	502.6	37
	music	NoC	76	-	502.4	159
	obtain	Verb	9	-	501.2	50
	removed	Verb	16	-	501.0	64
	realize	Verb	59	+	500.7	18
	discovered	Verb	19	-	500.1	69
	module	NoC	3	-	499.7	36
	election	NoC	40	-	499.5	104
	demands	NoC	11	-	499.0	55
	objects	NoC	8	-	498.3	49
	pattern	NoC	35	-	498.1	97
	decline	NoC	7	-	496.9	45
	arm	NoC	36	-	496.1	98
	studied	Verb	6	-	496.0	43
	bodies	NoC	22	-	495.8	75
	November	NoP	37	-	495.4	100
	murder	NoC	13	-	495.4	58
	fear	NoC	19	-	495.2	70
	castle	NoC	10	-	495.2	52
	eastern	Adj	16	-	494.9	64
	W / w	Lett	48	+	494.7	13
	active	Adj	24	-	494.7	78
	practical	Adj	27	-	494.5	83
	visited	Verb	8	-	494.2	47
	amendment	NoC	51	+	494.0	14
	applied	Verb	20	-	493.5	72
	actions	NoC	10	-	493.4	53
	growing	Adj	16	-	493.0	64
	significance	NoC	9	-	492.9	51
	attack	NoC	27	-	492.9	83
	served	Verb	19	-	492.6	69
	whispered	Verb	1	-	492.4	28
	increased	Adj	15	-	492.0	62
	Asia	NoP	2	-	491.1	34
	free	Adj	113	-	489.9	208
	suffered	Verb	13	-	489.3	59
	powers	NoC	21	-	489.2	73
	sound	NoC	43	-	488.7	109
	simply	Adv	98	-	488.7	187
	Y / y	Lett	70	+	488.6	25
	degree	NoC	42	-	488.4	106
	championship	NoC	4	-	487.6	37
	publication	NoC	5	-	487.6	41
	wow	Int	23	+	487.5	3
	curriculum	NoC	13	-	487.5	58
	upstairs	Adv	63	+	487.0	21
	external	Adj	11	-	486.7	54
	co-operation	NoC	4	-	486.6	39
	by	Adv	3	-	486.5	35
	index	NoC	9	-	486.3	49
	African	Adj	8	-	486.3	47
	V / v	Lett	102	+	486.2	44
	unit	NoC	48	-	485.6	116
	some	DetP	1986	+	485.6	1681
	Wales	NoP	37	-	485.1	99
	ground	NoC	80	-	484.9	163
	tapes	NoC	44	+	484.6	11
	happening	Verb	86	+	482.7	35
	potential	Adj	21	-	482.5	71
	works	NoC	31	-	481.8	88
	kind of	Adv	26	+	481.5	3
	firmly	Adv	7	-	481.4	44
	bom	NoC	13	+	480.9	0
	S. / s.	Lett	10	+	480.4	0
	flight	NoC	12	-	480.3	56
	90	Num	0	-	479.9	26
	C.	NoP	0	-	479.4	24
	claims	NoC	13	-	479.3	57
	September	NoP	45	-	478.9	111
	make	Verb	977	+	477.7	769
	impossible	Adj	24	-	477.5	76
	owner	NoC	12	-	477.4	54
	talks	NoC	17	-	477.1	65
	freedom	NoC	18	-	476.5	65
	feel	Verb	364	+	476.2	243
	emphasis	NoC	14	-	476.0	59
	O. / o.	Lett	10	+	475.9	0
	transfer	NoC	12	-	475.7	55
	blooming	Adj	14	+	475.6	0
	top	NoC	196	+	475.5	112
	search	NoC	12	-	475.0	55
	captain	NoC	14	-	474.9	58
	areas	NoC	142	-	474.2	244
	J	NoP	0	-	473.9	24
	remaining	Adj	7	-	473.9	45
	afternoon	NoC	148	+	473.4	77
	performed	Verb	6	-	473.4	43
	exhibition	NoC	14	-	473.3	59
	paintings	NoC	4	-	473.3	36
	paying	Verb	95	+	473.2	41
	forget	Verb	117	+	471.4	55
	defined	Verb	14	-	471.3	59
	Saturday	NoP	147	+	471.1	76
	offer	Verb	42	-	470.8	105
	conventional	Adj	6	-	470.6	43
	carried	Verb	69	-	470.0	146
	shrugged	Verb	0	-	469.6	26
	attitudes	NoC	11	-	469.2	52
	allow	Verb	53	-	469.1	122
	plus	Prep	128	+	469.0	63
	response	NoC	43	-	468.3	106
	issued	Verb	15	-	467.9	61
	distribution	NoC	19	-	467.8	68
	stated	Verb	11	-	467.5	52
	hate	Verb	65	+	467.2	23
	South	NoP-	22	-	467.0	72
	honourable	Adj	32	+	466.5	6
	leaned	Verb	0	-	466.4	25
	leadership	NoC	11	-	466.4	52
	300	Num	0	-	466.2	26
	north	NoC	88	-	464.4	171
	could	VMod	1949	+	464.3	1653
	Ann	NoP	52	+	464.0	16
	troops	NoC	11	-	463.9	53
	becoming	Verb	24	-	463.9	77
	rapid	Adj	5	-	463.8	39
	roman	Adj	9	-	463.3	48
	administrative	Adj	5	-	463.0	39
	seconder	NoC	12	+	462.2	0
	silent	Adj	6	-	462.0	42
	darkness	NoC	4	-	461.8	38
	upper	Adj	14	-	461.7	58
	walk	Verb	122	+	461.7	59
	met	Verb	70	-	461.3	146
	wealth	NoC	6	-	461.2	42
	club	NoC	90	-	460.5	173
	sight	NoC	21	-	460.3	71
	paused	Verb	1	-	459.8	27
	exam	NoC	32	+	459.4	6
	structures	NoC	9	-	459.3	48
	real	Adv	21	+	459.3	2
	sequence	NoC	8	-	458.5	46
	warned	Verb	7	-	458.4	44
	firm	NoC	35	-	458.1	94
	classical	Adj	4	-	458.0	36
	drew	Verb	10	-	457.8	50
	grounds	NoC	19	-	457.7	66
	wee	NoC	16	+	456.8	1
	concluded	Verb	3	-	456.7	35
	staff	NoC	138	-	456.3	237
	convention	NoC	5	-	455.9	38
	agree	Verb	144	+	455.8	75
	sharply	Adv	1	-	455.4	28
	practices	NoC	10	-	455.1	49
	formal	Adj	21	-	454.9	69
	gastric	Adj	0	-	454.2	23
	recently	Adv	60	-	453.9	130
	avoid	Verb	30	-	453.8	85
	introduction	NoC	22	-	453.8	71
	annual	Adj	31	-	453.6	86
	creation	NoC	11	-	453.6	52
	mayor	NoP	11	+	453.1	0
	cm	NoC	0	-	452.4	23
	health	NoC	154	-	452.1	257
	tradition	NoC	13	-	451.9	56
	explained	Verb	25	-	451.7	76
	buildings	NoC	22	-	451.2	72
	islands	NoC	5	-	450.8	39
	Nottingham	NoP	55	+	450.3	18
	drawn	Verb	28	-	450.1	81
	0	Num	1	-	449.9	29
	modules	NoC	2	-	449.6	30
	500	Num	1	-	449.4	26
	east	NoC	64	-	449.2	136
	honestly	Adv	43	+	449.0	11
	long-term	Adj	8	-	448.2	45
	only	Adv	1079	-	447.9	1323
	output	NoC	17	-	447.8	63
	religious	Adj	22	-	447.5	71
	August	NoP	30	-	446.6	85
	lead	Verb	38	-	446.6	97
	anger	NoC	4	-	446.4	37
	individuals	NoC	31	-	446.3	86
	Dave	NoP	64	+	446.2	22
	nevertheless	Adv	26	-	445.9	78
	technique	NoC	11	-	445.4	50
	who	Pron	1780	-	443.9	2086
	educational	Adj	18	-	443.7	63
	clear	Adj	140	-	443.6	237
	theoretical	Adj	3	-	443.5	33
	insisted	Verb	5	-	443.5	37
	closely	Adv	16	-	443.3	60
	basic	Adj	51	-	442.7	116
	at last	Adv	10	-	442.7	48
	silly	Adj	66	+	442.6	24
	gently	Adv	8	-	441.6	44
	developments	NoC	13	-	441.2	56
	examples	NoC	25	-	440.8	76
	dun~	Verb	11	+	440.6	0
	solution	NoC	24	-	440.3	74
	worry	Verb	94	+	440.3	41
	city	NoC	143	-	439.9	241
	um	Int	27	+	439.5	4
	welfare	NoC	12	-	439.0	52
	establish	Verb	14	-	438.6	57
	raised	Verb	42	-	437.7	102
	phase	NoC	11	-	437.6	50
	PC/pc	NoC	1	-	437.4	25
	sun	NoC	55	-	437.4	121
	well	Adj	86	+	437.1	36
	discourse	NoC	1	-	437.1	25
	denied	Verb	6	-	436.7	41
	started	Verb	261	+	436.5	165
	walls	NoC	19	-	436.4	65
	Rome	NoP	5	-	436.1	37
	elements	NoC	21	-	435.7	69
	supreme	Adj	5	-	435.7	37
	threat	NoC	17	-	435.5	61
	records	NoC	26	-	435.4	76
	ability	NoC	39	-	435.3	97
	independence	NoC	10	-	435.1	49
	sighed	Verb	0	-	434.9	23
	context	NoC	35	-	434.3	92
	furthermore	Adv	3	-	434.1	32
	completed	Verb	16	-	433.7	59
	occur	Verb	17	-	433.1	61
	rock	NoC	21	-	432.7	69
	above	Adj	2	-	432.7	29
	at least	Adv	165	-	432.6	268
	like	Conj	61	+	432.5	21
	aid	NoC	30	-	432.1	84
	equally	Adv	22	-	431.6	71
	rarely	Adv	9	-	431.5	46
	types	NoC	37	-	431.3	95
	oops	Int	13	+	431.2	1
	knew	Verb	168	-	431.0	271
	patterns	NoC	18	-	430.9	63
	States	NoP	35	-	430.2	90
	using	Verb	157	-	430.2	257
	decade	NoC	7	-	429.8	41
	behind	Prep	121	-	429.6	211
	softly	Adv	1	-	429.6	27
	close	Adv	9	-	429.2	45
	selection	NoC	19	-	428.6	65
	better	Adj	308	+	428.3	203
	concept	NoC	22	-	428.0	69
	waited	Verb	8	-	427.9	43
	occurred	Verb	16	-	427.8	59
	criminal	Adj	10	-	427.8	48
	thingy	NoC	11	+	427.5	0
	feature	NoC	16	-	427.3	59
	R.	NoP	0	-	427.0	22
	sudden	Adj	8	-	425.9	43
	increasing	Adj	16	-	425.2	60
	examination	NoC	12	-	425.0	52
	object	NoC	15	-	424.9	57
	equipment	NoC	38	-	424.8	95
	figure	NoC	97	-	424.4	178
	1950s	Num	0	-	424.4	22
	moral	Adj	15	-	424.3	57
	skills	NoC	39	-	424.0	97
	always	Adv	597	+	423.9	446
	over	Adv	443	-	423.4	600
	linguistic	Adj	1	-	423.0	27
