	Word	PoS	FrSp		LogLike	FrWr
	eh	Int	211	+	5626.6	14
	no	Verb	152	+	5602.5	3
	hello	Int	220	+	5546.5	17
	also	Adv	556	-	5482.9	1328
	may	VMod	480	-	5470.7	1211
	talking	Verb	428	+	5463.6	93
	M / m	Lett	242	+	5455.1	24
	people	NoC	2063	+	5371.8	1146
	anybody	Pron	249	+	5359.7	26
	between	Prep	338	-	5239.2	968
	has	Verb	1598	-	5051.0	2708
	coming	Verb	522	+	5045.2	146
	a	Det	18637	-	4992.3	21972
	bloody	Adj	247	+	4983.3	30
	3	Num	6	-	4900.3	279
	though	Conj	5	-	4885.8	273
	C / c	Lett	431	+	4884.8	105
	everybody	Pron	267	+	4882.7	37
	twelve	Num	278	+	4881.9	41
	yo	Uncl	103	+	4822.3	0
	yep	Int	117	+	4760.8	1
	getting	Verb	539	+	4647.3	165
	more	Adv	624	-	4646.0	1351
	remember	Verb	513	+	4528.0	154
	like	Prep	1762	+	4525.3	983
	down	Adv	1472	+	4515.8	772
	little	Adj	700	+	4476.2	261
	round	Adv	415	+	4467.1	106
	ya	Pron	117	+	4449.7	2
	stuff	NoC	274	+	4430.3	45
	per cent*	NoC	69	-	4353.7	418
	mummy	NoC	159	+	4312.5	10
	okay*	Adj	129	+	4259.1	4
	such as	Prep	43	-	4252.5	354
	T / t	Lett	245	+	4186.5	37
	E / e	Lett	263	+	4180.2	44
	4	Num	3	-	4049.5	224
	out	Adv	2316	+	3968.3	1452
	need	Verb	749	+	3967.2	310
	dad	NoC	268	+	3870.9	51
	S / s	Lett	267	+	3846.8	51
	tell	Verb	668	+	3824.7	265
	10	Num	2	-	3823.9	207
	my	Det	2278	+	3796.6	1438
	thus	Adv	8	-	3757.9	228
	UK	NoP	0	-	3746.8	193
	U / u	Lett	133	+	3745.1	8
	anything	Pron	633	+	3716.7	248
	'	Gen	141	-	3704.0	518
	while	Conj	156	-	3694.5	543
	went	Verb	917	+	3675.1	433
	most	Adv	199	-	3559.7	607
	new	Adj	603	-	3528.3	1208
	social	Adj	115	-	3523.1	458
	pardon	NoC	114	+	3483.2	5
	began	Verb	25	-	3462.2	262
	G / g	Lett	182	+	3422.3	24
