	Word	PoS	FrIm		LL		FrIn

	areas	NoC	15	-	7873.6	303
	Britain	NoP	25	-	7845.3	334
	out of	Prep	931	+	7834.0	376
	into	Prep	2494	+	7827.8	1494
	services	NoC	22	-	7821.8	324
	council	NoC	38	-	7792.6	368
	morning	NoC	460	+	7763.8	111
	gone	Verb	435	+	7632.1	101
	international	Adj	17	-	7512.4	300
	general	Adj	49	-	7489.7	386
	like	Verb	579	+	7450.1	177
	between	Prep	458	-	7413.3	1101
	can	VMod	1417	-	7354.7	2417
	Mrs	NoC	485	+	7256.4	131
	management	NoC	16	-	7244.9	287
	off	Adv	850	+	7200.3	342
	members	NoC	48	-	7179.4	372
	how	Adv	1480	+	7172.4	769
	community	NoC	21	-	7146.3	300
	wo~	VMod	330	+	7112.1	61
	market	NoC	49	-	7099.2	371
	see	Verb	1628	+	7083.9	879
	major	Adj	27	-	7034.8	312
	state	NoC	95	-	7034.4	470
	say	Verb	937	+	7018.6	402
	silence	NoC	220	+	7006.3	21
	beside	Prep	220	+	6936.7	22
	UK	NoP	6	-	6935.9	241
	watched	Verb	238	+	6919.8	28
	fingers	NoC	215	+	6872.5	21
	data	NoC	8	-	6812.3	246
	took	Verb	777	+	6786.3	307
	that	Conj	5891	-	6778.8	7684
	use	NoC	68	-	6769.5	403
	10	Num	12	-	6739.3	257
	looking	Verb	540	+	6737.3	169
	number	NoC	156	-	6717.7	574
	their	Det	1910	-	6654.4	2982
	industry	NoC	15	-	6640.7	263
	million	NoC	33	-	6619.4	313
	stopped	Verb	290	+	6616.2	49
	1990	Num	1	-	6614.8	209
	period	NoC	34	-	6604.5	316
	breath	NoC	199	+	6599.5	18
	4	Num	20	-	6598.8	277
	used	Verb	165	-	6530.0	583
	p.	NoC	1	-	6528.8	203
	pulled	Verb	238	+	6499.0	31
	in	Adv	887	+	6488.3	385
	behind	Prep	480	+	6449.1	142
	provide	Verb	27	-	6435.3	293
	law	NoC	51	-	6424.9	353
	window	NoC	302	+	6344.6	57
	including	Prep	34	-	6340.8	308
	within	Prep	155	-	6306.1	554
	process	NoC	26	-	6289.1	285
	boy	NoC	340	+	6272.0	75
	European	Adj	18	-	6262.4	260
	they	Pron	4791	+	6253.6	3485
	health	NoC	38	-	6249.7	314
	whispered	Verb	127	+	6244.8	2
	public	Adj	62	-	6203.6	369
	award	NoC	3	-	6192.9	205
