	Word	PoS	FrIm		LL		FrIn

	technique	NoC	8	-	1155.2	61
	gate	NoC	84	+	1155.1	24
	distinction	NoC	6	-	1155.0	55
	useful	Adj	40	-	1154.7	123
	reforms	NoC	0	-	1154.1	38
	thrust	Verb	43	+	1153.5	6
	an'	Conj	35	+	1152.6	3
	foundation	NoC	4	-	1151.6	50
	aircraft	NoC	17	-	1149.0	79
	lunch	NoC	107	+	1148.4	37
	along	Prep	214	+	1147.8	107
	North	NoP-	10	-	1147.6	66
	curled	Verb	30	+	1147.3	2
	negative	Adj	7	-	1146.4	57
	carefully	Adv	143	+	1144.9	59
	find	Verb	555	+	1144.6	369
	agencies	NoC	4	-	1143.8	49
	hot	Adj	162	+	1143.7	72
	homes	NoC	14	-	1143.0	74
	Belville	NoP	20	+	1141.3	0
	findings	NoC	2	-	1140.0	45
	limited	Verb	5	-	1139.5	53
	nervously	Adv	31	+	1138.0	2
	ready	Adj	174	+	1137.3	80
	supper	NoC	47	+	1137.2	7
	mummy	NoC	36	+	1136.6	4
	1960s	Num	2	-	1136.4	42
	final	Adj	62	-	1135.6	157
	school	NoC	241	-	1135.6	401
	negotiations	NoC	4	-	1135.2	49
	principal	Adj	6	-	1135.1	54
	working	Adj	15	-	1135.1	76
	injury	NoC	8	-	1135.0	61
	Jake	NoP	28	+	1134.7	1
	stages	NoC	6	-	1134.7	54
	actual	Adj	15	-	1134.4	76
	Honey	NoP	21	+	1134.1	0
	administrative	Adj	4	-	1133.7	48
	tests	NoC	10	-	1133.6	65
	announced	Verb	48	-	1133.2	133
	Rincewind	NoP	19	+	1129.3	0
	Edinburgh	NoP	16	-	1128.8	77
	larger	Adj	26	-	1128.7	97
	evaluation	NoC	1	-	1128.0	38
	developing	Adj	1	-	1127.7	41
	requirement	NoC	2	-	1127.1	41
	Herr	Fore	26	+	1126.9	1
	Nicolo	NoP	21	+	1126.9	0
	Eleanor	NoP	41	+	1125.3	5
	reasons	NoC	46	-	1124.3	129
	suit	NoC	76	+	1124.3	21
	chuckled	Verb	23	+	1124.3	0
	forgot	Verb	41	+	1121.9	5
	skirt	NoC	45	+	1121.8	7
	processing	NoC	1	-	1121.5	40
	private	Adj	97	-	1121.3	208
	Eline	NoP	19	+	1119.8	0
	waist	NoC	46	+	1119.6	7
	profit	NoC	13	-	1118.2	69
	referred	Verb	16	-	1117.7	77
	once more	Adv	65	+	1117.2	16
	element	NoC	13	-	1115.7	70
	trading	NoC	5	-	1114.7	50
	later	Adj	27	-	1114.5	97
	grabbed	Verb	49	+	1114.2	8
	1974	Num	3	-	1114.0	45
	Lucenzo	NoP	19	+	1113.5	0
	result	Verb	3	-	1113.4	46
	subsequently	Adv	4	-	1113.3	49
	ratio	NoC	1	-	1111.9	38
	folded	Verb	36	+	1111.7	4
	pulling	Verb	63	+	1111.4	14
	encourage	Verb	11	-	1111.0	65
	improvement	NoC	6	-	1110.0	55
	protein	NoC	1	-	1108.9	39
	supported	Verb	14	-	1108.3	72
	brushed	Verb	36	+	1106.5	4
	wearily	Adv	24	+	1106.2	1
	Nathan	NoP	35	+	1106.1	3
	trousers	NoC	58	+	1106.1	12
	age	NoC	129	-	1105.2	251
	arts	NoC	12	-	1104.3	68
	tossed	Verb	31	+	1102.4	2
	independence	NoC	8	-	1102.1	59
	Fitzalan	NoP	19	+	1100.8	0
	Jessamy	NoP	19	+	1100.8	0
	input	NoC	2	-	1099.0	42
	Benny	NoP	27	+	1098.6	1
	Fenella	NoP	21	+	1098.4	0
	yours	Pron	82	+	1098.0	24
	ear	NoC	71	+	1097.3	19
	nations	NoC	6	-	1096.9	54
	alive	Adj	95	+	1096.9	31
	directors	NoC	7	-	1096.6	57
	frown	NoC	23	+	1096.1	1
	situation	NoC	78	-	1095.6	178
	relating	Verb	4	-	1095.2	48
	businesses	NoC	4	-	1095.1	47
	stare	Verb	31	+	1091.8	2
	two	Num	1175	-	1091.1	1493
	derived	Verb	3	-	1089.7	45
	global	Adj	4	-	1088.3	48
	because of	Prep	96	-	1087.9	204
	Huy	NoP	19	+	1087.6	0
	feeling	NoC	139	+	1086.5	58
	monetary	Adj	1	-	1086.4	39
	knelt	Verb	25	+	1085.9	1
	Lais	NoP	19	+	1085.0	0
	adopted	Verb	12	-	1082.9	66
	turnover	NoC	1	-	1082.1	39
	gestured	Verb	21	+	1082.0	0
	responsible	Adj	39	-	1081.4	116
	bowed	Verb	33	+	1081.2	3
	itself	Pron	150	-	1081.1	279
	records	NoC	24	-	1080.0	90
	initially	Adv	5	-	1079.8	50
	Manchester	NoP	10	-	1079.5	63
	implications	NoC	8	-	1079.0	59
	statements	NoC	6	-	1078.8	54
	slammed	Verb	35	+	1078.5	4
	Matthew	NoP	65	+	1077.7	16
	plus	Prep	16	-	1077.1	75
	accounts	NoC	19	-	1077.0	81
	strategies	NoC	1	-	1076.0	38
	Rosie	NoP	29	+	1075.9	2
	1973	Num	2	-	1075.2	41
	Dolly	NoP	25	+	1074.5	1
	ownership	NoC	2	-	1073.6	42
	periods	NoC	6	-	1073.2	53
	crouched	Verb	26	+	1073.1	1
	eat	Verb	124	+	1072.0	49
	continues	Verb	6	-	1071.9	53
	crying	Verb	43	+	1071.6	6
	q.v.	Uncl	0	-	1071.4	33
	creation	NoC	10	-	1070.5	62
	candidate	NoC	6	-	1068.8	52
	equal	Adj	16	-	1068.8	75
	enterprise	NoC	7	-	1068.4	55
	estimated	Verb	3	-	1066.5	44
	70	Num	1	-	1065.7	37
	returned	Verb	191	+	1065.7	94
	stroked	Verb	25	+	1065.7	1
	soon	Adv	264	+	1064.9	146
	decade	NoC	5	-	1064.0	50
	relative	Adj	6	-	1063.8	52
	met	Verb	233	+	1062.8	124
	exactly	Adv	168	+	1062.6	78
	claims	Verb	5	-	1062.6	50
	currency	NoC	4	-	1062.5	48
	dragged	Verb	51	+	1061.7	10
	whisper	NoC	28	+	1061.1	2
	Perdita	NoP	18	+	1059.2	0
	J.	NoP	8	-	1058.8	57
	Benjamin	NoP	52	+	1058.6	10
	sitting-room	NoC	24	+	1058.5	1
	agreements	NoC	1	-	1058.5	36
	meant	Verb	192	+	1058.4	94
	regime	NoC	4	-	1057.9	47
	chancellor	NoC	5	-	1057.9	48
	base	NoC	34	-	1056.5	107
	cancer	NoC	7	-	1055.3	55
	Alexei	NoP	37	+	1054.4&&	1	
	comprehensive	Adj	4	-	1054.1	47
	involved	Adj	38	-	1053.5	113
	operate	Verb	6	-	1052.1	52
	air	NoC	302	+	1051.9	175
	shuddered	Verb	23	+	1051.9	1
	truth	NoC	154	+	1051.9	69
	edge	NoC	144	+	1051.6	63
	Lorton	NoP	18	+	1050.2	0
	convention	NoC	4	-	1049.3	47
	laws	NoC	10	-	1048.7	62
	regulations	NoC	7	-	1047.6	54
	Doreen	NoP	28	+	1046.5	2
	pretty	Adv	94	+	1046.0	32
	Gloria	NoP	30	+	1045.2	2
	maintenance	NoC	6	-	1045.1	51
	drily	Adv	21	+	1044.1	0
	collection	NoC	30	-	1043.6	100
	smoke	NoC	71	+	1043.5	19
	primarily	Adv	2	-	1043.3	42
	investors	NoC	1	-	1043.3	37
	angel	NoC	44	+	1043.3	7
	southern	Adj	14	-	1043.1	70
	naked	Adj	57	+	1042.7	13
	1972	Num	1	-	1042.4	37
	Tom	NoP	112	+	1041.4	42
	hence	Adv	11	-	1041.2	63
	pink	Adj	70	+	1041.1	19
	sniffed	Verb	24	+	1040.7	1
	argument	NoC	31	-	1040.3	101
	consideration	NoC	13	-	1038.6	68
	fast	Adv	97	+	1038.5	34
	Scarlet	NoP	22	+	1038.4	1
	Paige	NoP	20	+	1038.2	0
	Annie	NoP	36	+	1038.0	4
	rather	Adv	315	+	1037.8	186
	gripped	Verb	29	+	1037.2	2
	Ben	NoP	73	+	1037.2	21
	radical	Adj	5	-	1036.7	49
	grunted	Verb	20	+	1036.6	0
	CO / Co	NoC	7	-	1035.7	54
	Asia	NoP	3	-	1035.5	42
	arrived	Verb	166	+	1034.0	78
	in general	Adv	7	-	1032.2	53
	Nora	NoP	23	+	1032.0	1
	remembering	Verb	46	+	1031.5	8
	retorted	Verb	26	+	1031.5	1
	fucking	Adj	28	+	1030.1	2
	bet	Verb	38	+	1029.4	5
	growled	Verb	21	+	1029.2	0
	middle	Adj	23	-	1028.7	86
	necessarily	Adv	13	-	1028.2	67
	nomes	NoC	18	+	1027.6	0
	catch	Verb	90	+	1026.1	30
	walls	NoC	123	+	1026.1	50
	victory	NoC	16	-	1025.3	73
	frequency	NoC	2	-	1024.8	38
	occurs	Verb	4	-	1024.7	45
	previous	Adj	61	-	1024.4	149
	Justice	NoC	23	-	1024.2	86
	yard	NoC	75	+	1024.0	22
	shit	NoC	40	+	1023.9	6
	sequence	NoC	8	-	1023.3	56
	body	NoC	387	+	1021.8	243
	code	NoC	13	-	1021.3	67
	male	Adj	38	-	1021.2	112
	continuing	Adj	4	-	1020.6	45
	footsteps	NoC	35	+	1019.7	4
	dependent	Adj	5	-	1018.8	49
	trust	Verb	68	+	1018.2	19
	reflect	Verb	6	-	1016.9	50
	category	NoC	4	-	1016.4	45
	bell	NoC	49	+	1016.4	10
	shone	Verb	34	+	1016.2	4
	Belfast	NoP	5	-	1015.1	48
	sank	Verb	39	+	1014.1	5
	London	NoP	254	-	1014.0	408
	whereas	Conj	17	-	1013.1	74
	linguistic	Adj	1	-	1012.0	34
	Rohmer	NoP	18	+	1011.8	0
	Israel	NoP	3	-	1011.2	43
	frowning	Verb	22	+	1011.1	1
	creature	NoC	54	+	1011.0	12
	hanging	Verb	59	+	1010.6	14
	acid	NoC	11	-	1008.8	61
	drunk	Adj	46	+	1008.5	8
	shouting	Verb	48	+	1008.3	9
	Tess	NoP	21	+	1008.0	1
	patted	Verb	22	+	1007.5	1
	bank	NoC	96	-	1006.0	198
	damn	Verb	24	+	1005.3	1
	in addition to	Prep	4	-	1004.4	46
	reader	NoC	8	-	1003.9	55
	settlement	NoC	6	-	1001.4	50
	coalition	NoC	1	-	1001.1	34
	fists	NoC	27	+	1000.1	2
	contributions	NoC	2	-	1000.0	37
	organizations	NoC	2	-	999.6	39
	wider	Adj	12	-	998.7	63
	watch	Verb	111	+	998.7	43
	integration	NoC	0	-	998.6	33
	ring	Verb	58	+	998.6	14
	disk	NoC	1	-	998.3	34
	via	Prep	10	-	997.8	59
	visual	Adj	4	-	997.6	45
	sufficient	Adj	18	-	997.4	75
	Angalo	NoP	17	+	996.4	0
	baby	NoC	157	+	996.0	73
	pity	NoC	49	+	995.6	10
	socialist	Adj	4	-	995.5	44
	involve	Verb	8	-	995.4	54
	for instance	Adv	25	-	994.8	89
	stage	NoC	88	-	994.7	187
	proposed	Verb	9	-	994.5	58
	vary	Verb	2	-	993.9	40
	co-operation	NoC	5	-	992.7	48
	grinning	Verb	23	+	992.6	1
	minimum	Adj	2	-	992.5	39
	parked	Verb	39	+	992.4	6
	conservation	NoC	1	-	992.2	35
	guess	Verb	56	+	992.1	13
	teams	NoC	6	-	990.8	50
	tightly	Adv	50	+	989.8	10
	hastily	Adv	33	+	989.6	4
	gesture	NoC	56	+	989.0	13
	Delaney	NoP	21	+	988.9	1
	statistics	NoC	3	-	987.2	42
	casually	Adv	30	+	986.8	3
	interaction	NoC	0	-	986.8	32
	Léonie	NoP	17	+	986.6	0
	lot*	NoC	247	+	985.8	137
	acquisition	NoC	1	-	985.8	36
	proposal	NoC	7	-	985.6	53
	unique	Adj	9	-	985.3	57
	affect	Verb	10	-	985.3	59
	disabled	Adj	3	-	984.5	40
	moreover	Adv	10	-	984.3	58
	Karen	NoP	44	+	983.9	8
	New	NoP-	51	-	983.5	132
	considered	Verb	72	-	983.5	163
	essentially	Adv	5	-	982.7	46
	religious	Adj	22	-	982.6	83
	NHS	NoP	1	-	982.4	34
	housing	Verb	2	-	982.2	38
	promote	Verb	3	-	981.9	42
	dominant	Adj	3	-	980.4	41
	structural	Adj	1	-	980.3	36
	imposed	Verb	4	-	980.1	45
	scope	NoC	4	-	979.7	45
	Commons	NoP	4	-	979.4	44
	0	Num	1	-	977.8	36
	participation	NoC	2	-	976.8	37
	excitement	NoC	67	+	976.1	19
	80	Num	1	-	974.4	36
	specifically	Adv	5	-	974.4	48
	1970	Num	1	-	973.5	36
	nails	NoC	41	+	973.4	7
	around	Adv	318	+	972.3	192
	leant	Verb	23	+	972.2	1
	clenched	Verb	20	+	972.1	0
	components	NoC	4	-	972.0	43
	amused	Adj	32	+	971.8	3
	votes	NoC	3	-	970.4	42
	trend	NoC	1	-	969.1	35
	options	NoC	6	-	969.0	48
	mumbled	Verb	21	+	968.7	1
	consistent	Adj	3	-	968.6	41
	ministry	NoC	13	-	968.3	64
	provisions	NoC	8	-	965.8	55
	response	NoC	46	-	964.8	122
	proceedings	NoC	9	-	964.5	56
	ridiculous	Adj	48	+	964.0	10
	reducing	Verb	2	-	963.9	39
	arise	Verb	4	-	963.2	44
	politely	Adv	30	+	962.8	3
	initiative	NoC	5	-	962.7	47
	consists	Verb	1	-	961.0	35
	bathroom	NoC	59	+	960.3	15
	theories	NoC	6	-	960.1	49
	describes	Verb	2	-	958.9	36
	matter	Verb	70	+	957.4	20
	artists	NoC	8	-	956.8	54
	wrapped	Verb	49	+	956.8	10
	rose	Verb	122	+	956.7	51
	remain	Verb	40	-	956.4	113
	Romanov	NoP	19	+	956.3	0
	amusement	NoC	35	+	955.7	5
	de*	Fore	16	+	955.3	0
	criminal	Adj	10	-	954.9	58
	promise	Verb	44	+	954.9	8
	nineteenth	Ord	4	-	954.7	43
	taxation	NoC	1	-	954.7	33
	above	Adj	2	-	954.7	37
	Jean-Claude	NoP	22	+	954.3	1
	highest	Adj	11	-	954.2	61
	situations	NoC	6	-	954.1	50
	1971	Num	2	-	954.1	36
	clasped	Verb	22	+	953.3	1
	teacher	NoC	35	-	953.2	104
	recommendations	NoC	1	-	953.0	32
	Cleo	NoP	20	+	952.8	0
	boots	NoC	63	+	952.6	17
	clinical	Adj	3	-	952.5	41
	Luce	NoP	22	+	951.4	1
	wandered	Verb	34	+	951.3	4
	once	Adv	285	+	951.2	167
	illustrated	Verb	1	-	951.1	35
	Taylor	NoP	6	-	950.6	48
	mistress	NoC	39	+	950.2	6
	examination	NoC	12	-	950.2	63
	lowered	Verb	41	+	949.9	7
	wooden	Adj	81	+	949.9	26
	appear	Verb	55	-	948.7	135
	Guido	NoP	22	+	947.5	1
	knocked	Verb	56	+	947.4	14
	loans	NoC	2	-	947.1	37
	affairs	NoC	29	-	946.8	93
	links	NoC	5	-	946.5	46
	narrowed	Verb	29	+	945.7	3
	gown	NoC	31	+	945.3	3
	district	NoC	23	-	945.2	82
	Bodie	NoP	17	+	944.7	0
	instant	NoC	33	+	944.5	4
	Damian	NoP	22	+	943.5	1
	tugged	Verb	20	+	942.5	1
	intervention	NoC	4	-	941.9	43
	Gazzer	NoP	17	+	941.6	0
	bare	Adj	59	+	941.5	15
	disappeared	Verb	77	+	940.8	25
	nation	NoC	10	-	939.6	57
	Maxim	NoP	16	+	939.5	0
	busy	Adj	96	+	938.9	36
	force	NoC	75	-	938.7	164
	argues	Verb	1	-	938.2	32
	Finn	NoC	25	+	938.1	2
	above	Adv	45	-	937.9	119
	Bella	NoP	22	+	936.1	1
	stiffly	Adv	22	+	936.0	1
	operating	NoC	3	-	935.9	41
	300	Num	1	-	934.6	33
	Christian	Adj	21	-	934.0	78
	tightened	Verb	31	+	933.8	3
	efficiency	NoC	6	-	933.6	48
	judgment	NoC	4	-	932.7	44
	formal	Adj	23	-	932.3	81
	there	Ex	2667	+	932.1	2273
	concern	NoC	44	-	930.6	117
	waiter	NoC	29	+	930.5	3
	alliance	NoC	4	-	929.3	42
	bother	Verb	47	+	928.9	10
	cousin	NoC	49	+	928.6	11
	tapped	Verb	31	+	927.7	3
	silk	NoC	59	+	927.1	15
	concentrations	NoC	0	-	927.0	29
	excuse	Verb	31	+	926.2	3
	foot	NoC	130	+	925.4	57
	Flavia	NoP	19	+	924.8	0
	wiped	Verb	38	+	924.5	6
	furthermore	Adv	3	-	923.4	40
	Benedict	NoP	24	+	923.2	1
	Birmingham	NoP	4	-	922.3	42
	90	Num	1	-	921.6	33
	folly	NoC	35	+	921.2	5
	furiously	Adv	26	+	920.4	2
	committees	NoC	2	-	919.1	35
	lightly	Adv	54	+	919.0	13
	Blondel	NoP	17	+	917.9	0
	Edouard	NoP	22	+	917.8	1
	Nicandra	NoP	16	+	917.4	0
	Pooley	NoP	20	+	916.6	1
	consumers	NoC	1	-	916.3	31
	envelope	NoC	42	+	915.5	8
	following	Verb	61	-	914.9	143
	advertising	NoC	7	-	914.5	50
	gentle	Adj	70	+	914.5	21
	restrictions	NoC	2	-	914.3	37
	cm	NoC	0	-	914.1	29
	stirred	Verb	34	+	913.6	4
	goodbye	Int	32	+	913.5	4
	die	Verb	105	+	913.3	42
	flickered	Verb	20	+	913.0	1
	banks	NoC	24	-	912.6	84
	cool	Adj	73	+	912.1	23
	ought [to]	VMod	103	+	910.9	41
	guidelines	NoC	0	-	910.4	30
	frequently	Adv	19	-	910.3	75
	means	Verb	67	-	910.3	152
	calmly	Adv	30	+	910.0	3
	briskly	Adv	23	+	909.7	1
	500	Num	1	-	909.3	33
	deficit	NoC	1	-	909.0	32
	clutched	Verb	21	+	908.7	1
	difficult	Adj	134	-	908.7	245
	aims	NoC	1	-	908.5	33
	consumption	NoC	5	-	908.4	44
	mist	NoC	37	+	908.3	6
	chemical	Adj	5	-	904.7	45
	variables	NoC	0	-	904.7	30
	variation	NoC	2	-	904.3	37
	unity	NoC	3	-	904.2	38
	theme	NoC	8	-	903.9	50
	mug	NoC	28	+	903.3	3
	wrist	NoC	35	+	903.2	5
	closer	Adv	64	+	901.6	18
	concepts	NoC	2	-	900.9	36
	condition	NoC	37	-	900.1	104
	employed	Verb	13	-	898.5	61
	despite	Prep	87	-	898.2	179
	ship	NoC	90	+	898.2	33
	papa	NoC	21	+	898.0	1
	approaches	NoC	2	-	897.6	36
	physical	Adj	46	-	897.5	118
	Aggie	NoP	17	+	897.1	0
	Microsoft	NoP	0	-	896.9	27
	increases	NoC	1	-	896.8	30
	affected	Verb	17	-	896.7	69
	resulted	Verb	3	-	896.4	40
	customers	NoC	25	-	895.9	84
	conventional	Adj	8	-	895.8	52
	odd	Adj	85	+	895.2	30
	holly	NoC	32	+	893.8	4
	producing	Verb	8	-	893.6	51
	written	Adj	5	-	893.5	43
	Lindsey	NoP	27	+	893.3	2
	researchers	NoC	2	-	892.5	35
	lied	Verb	25	+	892.5	2
	everyone	Pron	211	+	892.2	115
	deep	Adv	66	+	891.8	19
	judicial	Adj	2	-	891.4	34
	loan	NoC	7	-	890.7	50
	leather	NoC	62	+	890.4	18
	maximum	Adj	6	-	890.0	45
	sectors	NoC	1	-	889.6	30
	manufacturers	NoC	3	-	889.0	37
	Alyssia	NoP	15	+	888.9	0
	Australia	NoP	14	-	888.8	63
	J	NoP	1	-	887.9	30
	sick	Adj	86	+	887.6	30
	lad	NoC	46	+	887.6	10
	Felipe	NoP	21	+	887.6	1
	circumstances	NoC	51	-	887.4	126
	set	NoC	55	-	886.1	132
	Jed	NoP	18	+	885.5	0
	handed	Verb	80	+	884.6	27
	business	NoC	259	-	883.7	402
	crept	Verb	29	+	882.4	3
	indicate	Verb	9	-	882.4	53
	target	NoC	23	-	882.0	81
	Culley	NoP	16	+	881.6	0
	equivalent	Adj	2	-	880.1	34
	commonly	Adv	2	-	879.8	35
	Melanie	NoP	25	+	878.9	2
	Oxford	NoP	34	-	878.8	98
	client	NoC	18	-	878.6	71
	demands	NoC	15	-	876.1	65
	blood	NoC	175	+	875.3	90
	35	Num	2	-	875.2	35
	stuck	Verb	51	+	875.0	12
	anxiously	Adv	27	+	875.0	2
	communications	NoC	6	-	874.6	46
	computers	NoC	6	-	874.4	45
	giggled	Verb	19	+	874.2	1
	damage	NoC	28	-	873.0	89
	hurry	Verb	28	+	872.6	3
	AIDS	NoC	4	-	872.3	42
	launched	Verb	12	-	871.7	58
	towns	NoC	9	-	871.3	53
	drawer	NoC	30	+	871.0	4
	author	NoC	11	-	870.5	57
	partners	NoC	8	-	870.2	51
	passed	Verb	182	+	870.2	95
	point	NoC	231	-	870.1	366
	outcome	NoC	7	-	870.1	48
	stranger	NoC	40	+	869.8	7
	handsome	Adj	48	+	869.8	11
	Willie	NoP	39	+	869.6	7
	drawled	Verb	16	+	869.1	0
	dreadful	Adj	41	+	868.7	8
	economics	NoC	3	-	868.6	39
	revolution	NoC	12	-	868.5	58
	Owen	NoP	58	+	867.4	16
	field	NoC	82	-	867.1	171
	thanks	NoC	98	+	866.6	38
	Gulf	NoP	1	-	866.1	32
	Riven	NoP	15	+	866.0	0
	specialist	NoC	7	-	865.5	48
	leapt	Verb	32	+	865.4	4
	approved	Verb	8	-	864.9	51
	regulation	NoC	2	-	864.7	34
	marginal	Adj	1	-	863.9	29
	experiments	NoC	4	-	863.7	39
	partnership	NoC	6	-	863.7	45
	Gurder	NoP	15	+	863.6	0
	Ianthe	NoP	15	+	863.4	0
	cloak	NoC	28	+	863.2	3
	Jurnet	NoP	15	+	862.9	0
	brandy	NoC	31	+	860.1	4
	overseas	Adj	2	-	859.9	35
	component	NoC	2	-	859.7	35
	until	Prep	101	-	858.2	197
	spat	Verb	23	+	857.4	1
	residential	Adj	3	-	856.8	38
	pension	NoC	8	-	856.0	51
	significance	NoC	13	-	854.2	61
	authors	NoC	2	-	854.2	34
	inquiry	NoC	6	-	853.9	46
	objective	NoC	3	-	853.4	37
	positions	NoC	9	-	853.0	52
	win	Verb	34	-	852.6	98
	mass	Adj	6	-	851.5	46
	awards	NoC	1	-	851.4	31
	strategic	Adj	3	-	850.8	37
	Ulster	NoP	2	-	850.7	33
	colleges	NoC	2	-	850.6	33
	accounting	NoC	2	-	850.2	33
	Phoebe	NoP	19	+	850.0	1
	Charlotte	NoP	38	+	849.6	7
	diet	NoC	9	-	849.3	52
	approximately	Adv	3	-	849.2	37
	documents	NoC	11	-	848.5	55
	actions	NoC	14	-	848.5	63
	brows	NoC	19	+	848.2	1
	Grimma	NoP	15	+	847.8	0
	Tallis	NoP	19	+	847.0	1
	yet	Adv	456	+	846.1	311
	electoral	Adj	1	-	846.1	29
	dared	Verb	32	+	846.0	4
	I / i	Num	42	-	845.9	110
	involvement	NoC	10	-	845.5	54
	Alexandra	NoP	33	+	845.1	5
	moral	Adj	17	-	844.0	67
	startled	Adj	24	+	842.0	2
	adequate	Adj	7	-	841.4	46
	Julius	NoP	28	+	841.2	3
	broke	Verb	102	+	841.1	42
	H / h	Lett	5	-	840.9	43
	percentage	NoC	3	-	840.7	36
	originally	Adv	11	-	840.5	56
	task	NoC	45	-	839.9	114
	1968	Num	2	-	839.8	33
	themselves	Pron	159	-	839.5	273
	universities	NoC	2	-	839.5	35
	wake	Verb	39	+	839.3	7
	indicates	Verb	1	-	839.3	32
	privet	NoC	17	+	838.9	0
	cold	NoC	55	+	838.8	14
	notably	Adv	2	-	838.4	33
	variations	NoC	2	-	837.8	34
	crazy	Adj	47	+	837.7	11
	practitioners	NoC	0	-	837.7	28
	solutions	NoC	2	-	837.1	34
	lead	Verb	43	-	836.9	111
	John	NoP	231	-	836.4	363
	Felicity	NoP	20	+	835.6	1
	summary	NoC	3	-	835.6	37
	Manville	NoP	15	+	834.5	0
	pillow	NoC	27	+	834.4	3
	Tabitha	NoP	16	+	834.2	0
	Rosa	NoP	29	+	833.8	3
	in case	Conj	51	+	833.4	13
	Bush	NoP	4	-	833.3	39
	meeting	NoC	89	-	833.0	178
	equation	NoC	2	-	832.6	32
	taxes	NoC	3	-	831.1	37
	Camille	NoP	19	+	830.2	1
	recovery	NoC	9	-	830.2	50
	document	NoC	14	-	829.2	61
	refer	Verb	7	-	827.6	47
	consequences	NoC	12	-	826.0	57
	future	NoC	79	-	825.8	164
	still	Adj	64	+	825.4	20
	prior to	Prep	5	-	825.1	40
	gastric	Adj	1	-	824.9	29
	supporters	NoC	8	-	824.9	48
	mama	NoC	22	+	824.4	1
	though	Adv	113	+	824.2	49
	effectiveness	NoC	1	-	824.1	28
	developing	Verb	5	-	824.0	41
	Maisie	NoP	18	+	824.0	1
	inspector	NoC	66	+	823.8	21
	damages	NoC	1	-	823.7	30
	Cassie	NoP	16	+	823.6	0
	legislative	Adj	0	-	823.6	26
	accommodation	NoC	11	-	823.0	55
	participants	NoC	1	-	822.8	30
	prevent	Verb	28	-	822.6	85
	Pacific	NoP	3	-	822.4	37
	Bobbie	NoP	16	+	822.0	0
	shall	VMod	282	+	821.8	173
	Liz	NoP	45	+	821.5	10
	India	NoP	14	-	821.5	61
	supreme	Adj	6	-	820.9	45
	ashamed	Adj	35	+	820.6	6
	resolution	NoC	6	-	820.5	45
	adult	NoC	13	-	819.1	58
	yer	Pron	26	+	818.9	3
	progress	NoC	33	-	818.9	95
	undertaken	Verb	3	-	818.0	36
	contain	Verb	13	-	817.9	59
	initiatives	NoC	0	-	817.2	26
	Mildred	NoP	18	+	816.6	1
	Ranulf	NoP	15	+	815.8	0
	advanced	Adj	6	-	814.0	44
	wage	NoC	4	-	813.9	39
	graphics	NoC	1	-	813.8	28
	Zen	NoP	20	+	813.6	1
	charge	NoC	42	-	812.6	108
	allow	Verb	61	-	812.5	137
	tour	NoC	21	-	812.3	73
	take	Verb	822	+	810.8	625
	breathing	Verb	41	+	810.5	8
	Rune	NoP	16	+	809.6	0
	tonnes	NoC	0	-	809.4	25
	Lisa	NoP	36	+	808.7	6
	discussions	NoC	5	-	808.6	40
	Madeleine	NoP	22	+	808.3	1
	dare	VMod	33	+	808.2	5
	location	NoC	9	-	808.2	51
	in favour of	Prep	6	-	807.7	44
	transition	NoC	2	-	807.3	32
	earlier	Adj	29	-	806.8	87
	next to	Prep	65	+	806.8	20
	Jimmy	NoP	57	+	805.8	16
	demanded	Verb	82	+	804.4	30
	clever	Adj	53	+	804.3	14
	girls	NoC	157	+	803.6	80
	gene	NoC	1	-	803.2	28
	breach	NoC	5	-	802.4	41
	letting	Verb	53	+	802.4	14
	breakfast	NoC	87	+	801.7	33
	sword	NoC	43	+	801.7	9
	fist	NoC	32	+	801.3	5
	stated	Verb	15	-	801.3	62
	ideology	NoC	1	-	801.0	29
	drink	Verb	65	+	800.9	21
	Jezrael	NoP	14	+	800.3	0
	Dougal	NoP	16	+	799.5	0
	now that	Conj	65	+	798.1	21
	temper	NoC	37	+	798.1	7
	believes	Verb	10	-	797.7	51
	and/or	Conj	1	-	797.6	27
	nodding	Verb	22	+	797.4	1
	contribute	Verb	3	-	796.9	35
	ruling	Adj	1	-	796.8	31
	Dalgliesh	NoP	14	+	796.8	0
	TV	NoC	28	-	796.4	84
	aloud	Adv	33	+	796.3	5
	employee	NoC	5	-	796.1	40
	faded	Verb	32	+	795.9	5
	clutching	Verb	27	+	795.6	3
	outstanding	Adj	5	-	795.2	39
	over there	Adv	29	+	794.7	4
	audit	NoC	1	-	794.6	28
	Quigley	NoP	17	+	794.5	1
	uses	Verb	7	-	794.4	46
	Emmie	NoP	14	+	794.0	0
	mechanisms	NoC	1	-	793.5	27
	statistical	Adj	1	-	792.8	29
	trends	NoC	1	-	792.4	28
	gains	NoC	1	-	791.7	28
	identify	Verb	16	-	791.5	62
	Hoomey	NoP	14	+	790.8	0
	evolution	NoC	2	-	790.8	32
	armed	Adj	8	-	790.2	47
	vaguely	Adv	32	+	790.0	5
	aspect	NoC	12	-	789.5	55
	lack	NoC	45	-	789.5	111
	deputy	NoC	9	-	789.2	50
	built	Verb	71	-	788.8	150
	securities	NoC	0	-	788.4	27
	exercise	NoC	23	-	788.3	76
	Vologsky	NoP	14	+	787.7	0
	officers	NoC	39	-	787.5	102
	composition	NoC	2	-	787.3	32
