	Word	PoS		FrCo	Ra	DiDe		LogLike	FrTO	Ra	DiCG
	as	Conj	:	851	4	0.97	-	2457.1	2040	6	0.97
	as	Prep	:	298	4	0.97	-	3439.4	1339	6	0.95
	as well	Adv	:	657	4	0.96	+	267.5	420	6	0.92
	ask	Verb	%	602	4	0.95	-	192.4	838	6	0.94
	@	@	ask	339	4	0.94	-	65.2	440	6	0.92
	@	@	asked	179	4	0.97	-	50.3	244	6	0.95
	@	@	asking	74	4	0.88	-	88.0	135	6	0.97
	@	@	asks	9	4	0.80	-	13.6	18	6	0.94
	at	Prep	:	3274	4	0.96	-	1253.9	4691	6	0.96
	at all	Adv	:	241	4	0.95	-	22.3	290	6	0.93
	at least	Adv	:	147	4	0.97	-	13.7	177	6	0.90
	authority	NoC	%	10	4	0.94	-	1664.5	312	6	0.82
	@	@	authorities	4	4	0.77	-	634.2	118	6	0.80
	@	@	authority	7	4	0.88	-	1030.3	194	6	0.82
	available	Adj	:	18	4	0.86	-	640.7	163	6	0.87
	aware	Adj	:	14	4	0.89	-	527.6	134	6	0.89
	away	Adv	:	488	4	0.97	+	48.9	396	6	0.88
	aye	Int	:	539	4	0.81	+	261.5	329	6	0.38
	B / b	Lett	%	210	4	0.88	-	432.4	449	6	0.88
	@	@	b	201	4	0.88	-	413.2	429	6	0.88
	@	@	b.	9	4	0.84	-	19.2	19	6	0.67
	baby	NoC	%	153	4	0.91	+	102.0	84	6	0.61
	@	@	babies	14	4	0.92	-	10.0	23	6	0.63
	@	@	baby	139	4	0.91	+	154.7	62	6	0.59
	back	Adv	:	1408	4	0.97	+	225.1	1076	6	0.95
	back	NoC	%	366	4	0.95	+	199.6	216	6	0.91
	@	@	back	361	4	0.95	+	212.7	208	6	0.90
	@	@	backs	5	4	0.73	-	3.7	8	6	0.80
	bad	Adj	%	538	4	0.93	+	348.1	300	6	0.91
	@	@	bad	431	4	0.93	+	420.8	205	6	0.89
	@	@	worse	83	4	0.90	+	14.9	62	6	0.90
	@	@	worst	25	4	0.81	-	6.8	34	6	0.87
	bag	NoC	%	250	4	0.90	+	736.8	52	6	0.73
	@	@	bag	191	4	0.90	+	655.4	32	6	0.72
	@	@	bags	60	4	0.91	+	106.5	20	6	0.74
	base	Verb	%	14	4	0.71	-	517.7	132	6	0.89
	@	@	base	1	2	0.40	-	16.1	6	6	0.69
	@	@	based	13	4	0.75	-	494.9	124	6	0.90
	@	@	basing	0	1	0.00	-	8.1	2	6	0.63
	basically	Adv	:	80	4	0.68	-	161.6	170	6	0.92
	basis	NoC	%	11	4	0.86	-	672.1	151	6	0.81
	@	@	basis	11	4	0.86	-	672.1	151	6	0.81
	@	@	bases	0#	2#	0.66#	-	&&	1#	5#	0.76#
	be*	Verb	%	59412	4	0.99	+	711.9	55376	6	0.99
	@	@	'm	3334	4	0.95	+	1865.4	1950	6	0.95
	@	@	're	4681	4	0.98	+	300.3	3963	6	0.97
	@	@	's	21385	4	0.99	+	13596.4	12010	6	0.96
	@	@	am	270	4	0.91	+	9.4	239	6	0.89
	@	@	are	3929	4	0.97	-	837.7	5166	6	0.92
	@	@	be	4558	4	0.98	-	1914.5	6633	6	0.95
	@	@	been	1762	4	0.95	-	355.4	2300	6	0.95
	@	@	being	370	4	0.95	-	834.8	814	6	0.93
	@	@	is	8343	4	0.99	-	2368.0	11409	6	0.94
	@	@	was	8272	4	0.97	+	26.7	7977	6	0.88
	@	@	were	2508	4	0.96	-	151.8	2914	6	0.88
	because*	Conj	:	1494	4	0.94	-	1071.1	2411	6	0.98
	because of	Prep	:	73	4	0.95	-	264.4	190	6	0.95
	become	Verb	%	48	4	0.86	-	1110.0	328	6	0.92
	@	@	became	8	4	0.80	-	273.3	70	6	0.86
	@	@	become	29	4	0.88	-	491.1	163	6	0.88
	@	@	becomes	8	4	0.77	-	187.4	56	6	0.92
	@	@	becoming	3	4	0.60	-	171.1	39	6	0.88
	bed	NoC	%	352	4	0.93	+	898.8	87	6	0.88
	@	@	bed	330	4	0.94	+	931.2	73	6	0.87
	@	@	beds	22	4	0.67	+	9.3	14	6	0.89
	bedroom	NoC	%	130	4	0.81	+	207.9	47	6	0.74
	@	@	bedroom	110	4	0.84	+	207.8	35	6	0.70
	@	@	bedrooms	20	4	0.66	+	11.1	12	6	0.85
	before	Adv	:	263	4	0.92	+	33.4	208	6	0.93
	before	Conj	:	303	4	0.92	-	3.4	324	6	0.94
	before	Prep	:	169	4	0.95	-	87.5	255	6	0.94
	begin	Verb	%	47	4	0.95	-	217.3	135	6	0.84
	@	@	began	9	4	0.67	-	77.5	36	6	0.82
	@	@	begin	13	4	0.91	-	102.7	48	6	0.87
	@	@	beginning	15	4	0.82	-	32.0	32	6	0.77
	@	@	begins	9	4	0.74	-	2.7	12	6	0.75
	@	@	begun	1	3	0.62	-	27.6	8	6	0.72
	behind	Prep	:	139	4	0.95	+	17.6	109	6	0.91
	believe	Verb	%	177	4	0.92	-	336.3	368	6	0.89
	@	@	believe	169	4	0.93	-	223.5	317	6	0.89
	@	@	believed	5	4	0.56	-	81.5	26	6	0.84
	@	@	believes	2	3	0.57	-	70.6	17	6	0.76
	@	@	believing	1	2	0.29	-	26.4	7	6	0.81
	benefit	NoC	%	31	4	0.80	-	534.8	175	6	0.87
	@	@	benefit	25	4	0.71	-	240.0	101	6	0.86
	@	@	benefits	6	4	0.79	-	322.0	74	6	0.88
	bet	Verb	%	212	4	0.92	+	959.3	22	6	0.89
	@	@	bet	211	4	0.92	+	1002.0	19	6	0.90
	@	@	betting	1	3	0.62	-	1.7	2	4	0.64
	better	Adv	:	297	4	0.93	+	344.7	130	6	0.97
	between	Prep	:	125	4	0.94	-	1096.2	485	6	0.93
	big	Adj	%	890	4	0.95	+	561.7	501	6	0.85
	@	@	big	772	4	0.95	+	623.8	397	6	0.85
	@	@	bigger	93	4	0.81	+	25.9	64	6	0.79
	@	@	biggest	26	4	0.82	-	14.1	40	6	0.89
	birthday	NoC	%	154	4	0.87	+	498.9	29	6	0.68
	@	@	birthday	150	4	0.88	+	504.2	26	6	0.64
	@	@	birthdays	4	4	0.57	+	3.2	2	4	0.52
	bit*	NoC	%	955	4	0.97	+	404.1	605	6	0.92
	@	@	bit	807	4	0.97	+	324.7	517	6	0.92
	@	@	bits	148	4	0.93	+	81.2	87	6	0.88
	black	Adj	%	219	4	0.90	+	231.0	100	6	0.84
	@	@	black	218	4	0.90	+	232.6	99	6	0.84
	bloke	NoC	%	167	4	0.86	+	661.1	22	6	0.73
	@	@	bloke	140	4	0.85	+	570.1	18	6	0.70
	@	@	blokes	27	4	0.79	+	92.8	5	6	0.78
	bloody	Adj	%	559	4	0.87	+	2990.6	35	6	0.82
	@	@	bloody	559	4	0.87	+	3002.4	34	6	0.82
	bloody	Adv	:	212	4	0.89	+	1207.5	10	6	0.84
	blue	Adj	:	134	4	0.82	+	181.8	54	6	0.85
	board	NoC	%	90	4	0.87	-	31.2	127	6	0.79
	@	@	board	79	4	0.88	-	34.1	115	6	0.78
	@	@	boards	11	4	0.77	-	0.0	12	6	0.77
	body	NoC	%	75	4	0.85	-	177.9	168	6	0.87
	@	@	bodies	6	4	0.82	-	104.1	33	6	0.88
	@	@	body	70	4	0.85	-	103.9	135	6	0.84
	book	NoC	%	345	4	0.94	+	35.1	279	6	0.89
	@	@	book	252	4	0.92	+	33.8	197	6	0.88
	@	@	books	93	4	0.97	+	3.5	82	6	0.85
	both	Adv	:	61	4	0.95	-	169.2	144	6	0.88
	both	DetP	:	146	4	0.94	-	71.1	218	6	0.91
	bother	Verb	%	195	4	0.92	+	356.5	64	6	0.85
	@	@	bother	100	4	0.95	+	141.6	39	6	0.82
	@	@	bothered	84	4	0.85	+	210.5	21	6	0.87
	@	@	bothering	9	4	0.88	+	23.4	2	6	0.74
	@	@	bothers	3	4	0.73	+	0.1	2	5	0.62
	bottle	NoC	%	121	4	0.90	+	247.7	37	6	0.77
	@	@	bottle	93	4	0.90	+	230.2	23	6	0.78
	@	@	bottles	29	4	0.90	+	29.6	13	5	0.73
	bottom	NoC	%	149	4	0.89	+	39.0	105	6	0.88
	@	@	bottom	139	4	0.89	+	27.8	102	6	0.88
	@	@	bottoms	10	4	0.81	+	27.3	2	4	0.55
	box	NoC	%	243	4	0.85	+	259.2	111	6	0.93
	@	@	box	201	4	0.84	+	276.1	80	6	0.94
	@	@	boxes	42	4	0.72	+	8.9	31	6	0.81
	boy	NoC	%	388	4	0.93	+	666.1	134	6	0.82
	@	@	boy	291	4	0.92	+	759.2	70	6	0.79
	@	@	boys	98	4	0.93	+	34.5	64	6	0.81
	break	Verb	%	152	4	0.93	+	1.1	144	6	0.88
	@	@	break	60	4	0.84	+	0.1	59	6	0.90
	@	@	breaking	16	4	0.88	-	8.7	25	6	0.87
	@	@	breaks	9	4	0.62	+	0.6	8	6	0.74
	@	@	broke	41	4	0.85	+	14.4	27	6	0.70
	@	@	broken	26	4	0.92	+	0.0	26	6	0.89
	bring	Verb	%	414	4	0.96	-	3.8	440	6	0.97
	@	@	bring	234	4	0.96	+	9.7	205	6	0.95
	@	@	bringing	34	4	0.95	-	21.6	53	6	0.94
	@	@	brings	20	4	0.91	-	6.6	28	6	0.92
	@	@	brought	127	4	0.89	-	12.9	154	6	0.95
	British	Adj	:	48	4	0.86	-	494.4	204	6	0.76
	brother	NoC	%	125	4	0.86	+	34.2	87	6	0.71
	@	@	brother	102	4	0.81	+	79.7	54	6	0.73
	@	@	brothers	23	4	0.74	-	11.1	34	6	0.68
	budget	NoC	%	14	4	0.74	-	902.9	197	6	0.71
	@	@	budget	12	4	0.80	-	811.5	177	6	0.72
	@	@	budgets	1	2	0.21	-	91.4	20	6	0.68
	build	Verb	%	98	4	0.88	-	216.3	215	6	0.93
	@	@	build	31	4	0.86	-	110.8	81	6	0.92
	@	@	building	12	4	0.89	-	20.6	24	6	0.90
	@	@	builds	3	4	0.77	-	8.3	6	6	0.75
	@	@	built	53	4	0.87	-	81.9	103	6	0.86
	building	NoC	%	68	4	0.93	-	318.1	197	6	0.92
	@	@	building	62	4	0.93	-	229.4	163	6	0.90
	@	@	buildings	6	4	0.82	-	103.3	33	6	0.89
	bus	NoC	%	166	4	0.83	+	107.0	93	6	0.69
	@	@	bus	149	4	0.83	+	217.9	57	6	0.72
	@	@	buses	17	4	0.78	-	32.4	36	6	0.59
	business	NoC	%	103	4	0.92	-	674.6	347	6	0.86
	@	@	business	98	4	0.91	-	570.6	312	6	0.86
	@	@	businesses	5	3	0.59	-	116.9	34	6	0.71
	but	Conj	:	6561	4	0.98	+	42.4	6232	6	0.97
	buy	Verb	%	860	4	0.94	+	1508.4	293	6	0.88
	@	@	bought	348	4	0.89	+	850.7	89	6	0.83
	@	@	buy	415	4	0.94	+	626.8	156	6	0.89
	@	@	buying	83	4	0.86	+	64.1	43	6	0.91
	@	@	buys	15	4	0.85	+	30.6	4	6	0.83
	by	Prep	:	783	4	0.94	-	3652.4	2265	6	0.92
	bye	Int	:	264	4	0.91	+	629.9	69	6	0.71
	C / c	Lett	%	226	4	0.82	-	884.0	609	6	0.88
	@	@	C / c	217	4	0.82	-	824.1	577	6	0.88
	@	@	C. / c.	9	4	0.81	-	61.6	32	6	0.82
	cake	NoC	%	131	4	0.90	+	446.2	23	6	0.75
	@	@	cake	104	4	0.89	+	374.9	17	6	0.73
	@	@	cakes	27	4	0.90	+	74.1	6	5	0.62
	call	NoC	%	56	4	0.96	-	123.4	122	6	0.82
	@	@	call	40	4	0.90	-	53.6	75	6	0.82
	@	@	calls	16	4	0.89	-	78.0	47	6	0.82
	call	Verb	%	555	4	0.96	-	86.9	704	6	0.90
	@	@	call	243	4	0.96	-	56.1	322	6	0.92
	@	@	called	271	4	0.96	-	27.5	329	6	0.86
	@	@	calling	26	4	0.90	-	3.5	33	6	0.80
	@	@	calls	15	4	0.92	-	2.8	19	6	0.80
	can	VMod	%	5573	4	0.98	+	786.7	4332	6	0.96
	@	@	ca~	1919	4	0.98	+	2503.5	789	6	0.94
	@	@	can	3654	4	0.99	+	8.6	3543	6	0.96
	car	NoC	%	738	4	0.92	+	1201.5	265	6	0.90
	@	@	car	639	4	0.92	+	1245.0	201	6	0.89
	@	@	cars	99	4	0.96	+	39.4	64	6	0.82
	card	NoC	%	236	4	0.81	+	375.4	86	6	0.84
	@	@	card	158	4	0.84	+	296.6	51	6	0.85
	@	@	cards	78	4	0.75	+	86.9	35	6	0.81
	care	NoC	:	31	4	0.78	-	357.8	139	6	0.75	
	carry	Verb	%	146	4	0.89	-	215.9	283	6	0.91
	@	@	carried	21	4	0.78	-	279.5	102	6	0.79
	@	@	carries	6	4	0.78	-	4.0	10	6	0.85
	@	@	carry	95	4	0.87	-	26.5	130	6	0.95
	@	@	carrying	23	4	0.90	-	21.6	40	6	0.92
	case	NoC	%	96	4	0.97	-	1251.4	462	6	0.91
	@	@	case	78	4	0.94	-	925.6	356	6	0.89
	@	@	cases	18	4	0.89	-	329.1	106	6	0.85
	cat	NoC	%	138	4	0.89	+	425.2	27	6	0.65
	@	@	cat	111	4	0.90	+	387.2	18	6	0.69
	@	@	cats	28	4	0.69	+	50.3	9	6	0.44
	catch	Verb	%	140	4	0.95	+	83.7	80	6	0.90
	@	@	catch	62	4	0.86	+	44.7	33	6	0.85
	@	@	catches	4	4	0.71	+	0.9	3	6	0.88
	@	@	catching	10	4	0.77	+	0.2	9	6	0.85
	@	@	caught	64	4	0.93	+	44.5	35	6	0.88
	cause	Verb	%	39	4	0.89	-	213.0	121	6	0.89
	@	@	cause	20	4	0.76	-	20.4	35	6	0.82
	@	@	caused	9	4	0.84	-	119.8	43	6	0.89
	@	@	causes	4	4	0.86	-	35.9	16	6	0.87
	@	@	causing	6	4	0.78	-	66.8	26	6	0.86
	centre	NoC	%	56	4	0.93	-	490.8	217	6	0.86
	@	@	centre	53	4	0.92	-	389.7	188	6	0.86
	@	@	centres	3	4	0.73	-	115.8	29	6	0.78
	certain	Adj	:	66	4	0.91	-	509.3	240	6	0.96
	certainly	Adv	:	102	4	0.86	-	1071.4	434	6	0.87
	chair	NoC	%	126	4	0.80	+	17.1	99	6	0.75
