	Word	PoS		FrCo	Ra	DiDe		LogLike	FrTO	Ra	DiCG
	country	NoC	%	109	4	0.85	-	709.8	365	6	0.84
	@	@	countries	19	4	0.73	-	208.2	82	6	0.79
	@	@	country	90	4	0.86	-	507.0	283	6	0.85
	county	NoC	%	17	4	0.59	-	2287.6	438	6	0.67
	@	@	counties	3	3	0.46	-	36.9	13	6	0.78
	@	@	county	14	4	0.60	-	2269.6	425	6	0.66
	couple	NoC	%	270	4	0.88	+	56.7	198	6	0.95
	@	@	couple	267	4	0.88	+	68.5	189	6	0.94
	@	@	couples	3	4	0.77	-	15.0	9	6	0.74
	course	NoC	%	66	4	0.83	-	564.0	253	6	0.91
	@	@	course	57	4	0.83	-	415.8	202	6	0.88
	@	@	courses	9	4	0.78	-	154.7	51	6	0.84
	court	NoC	%	40	4	0.93	-	348.8	154	6	0.86
	@	@	court	37	4	0.94	-	269.7	132	6	0.86
	@	@	courts	2	3	0.62	-	91.4	22	6	0.89
	cover	Verb	%	83	4	0.87	-	156.8	172	6	0.91
	@	@	cover	38	4	0.89	-	44.5	68	6	0.90
	@	@	covered	28	4	0.85	-	90.3	70	6	0.91
	@	@	covering	8	4	0.65	-	15.1	17	6	0.86
	@	@	covers	9	4	0.75	-	12.3	17	6	0.86
	cup	NoC	%	200	4	0.86	+	323.1	72	6	0.60
	@	@	cup	178	4	0.86	+	268.6	67	6	0.57
	@	@	cups	22	4	0.85	+	59.9	5	6	0.81
	cut	Verb	%	262	4	0.91	+	102.1	169	6	0.87
	@	@	cut	217	4	0.90	+	110.8	130	6	0.87
	@	@	cuts	9	4	0.78	-	0.0	10	6	0.84
	@	@	cutting	35	4	0.85	+	3.3	29	6	0.80
	D / d	Lett	%	126	4	0.76	-	161.9	235	6	0.83
	@	@	d	118	4	0.76	-	171.6	227	6	0.83
	@	@	d.	9	4	0.70	+	0.1	8	6	0.60
	da	Uncl	:	145	4	0.82	+	790.5	8	6	0.80	
	dad	NoC	%	600	4	0.95	+	3057.0	44	6	0.64
	@	@	dad	598	4	0.95	+	3082.8	42	6	0.63
	@	@	dads	2	4	0.58	+	0.2	2	6	0.70
	daddy	NoC	%	258	4	0.81	+	1782.7	3	5	0.60
	@	@	daddy	256	4	0.81	+	1782.7	3	5	0.65
	darling	NoC	%	130	4	0.76	+	848.3	3	6	0.79
	@	@	darling	130	4	0.76	+	849.0	3	6	0.79
	date	NoC	%	58	4	0.99	-	113.5	122	6	0.87
	@	@	date	49	4	0.93	-	90.1	101	6	0.85
	@	@	dates	9	4	0.67	-	23.6	22	6	0.91
	David	NoP	:	146	4	0.84	+	3.6	132	6	0.87
	day	NoC	%	1132	4	0.97	+	30.6	1018	6	0.88
	@	@	day	876	4	0.97	+	159.9	657	6	0.91
	@	@	days	256	4	0.95	-	89.8	361	6	0.84
	deal	Verb	%	40	4	0.92	-	852.4	259	6	0.87
	@	@	deal	19	4	0.95	-	397.6	122	6	0.89
	@	@	dealing	13	4	0.84	-	235.2	76	6	0.84
	@	@	deals	1	4	0.81	-	64.3	15	6	0.75
	@	@	dealt	6	4	0.54	-	156.9	45	6	0.88
	dear	Int	:	324	4	0.91	+	1297.5	42	6	0.82
	decide	Verb	%	107	4	0.96	-	172.6	212	6	0.92
	@	@	decide	33	4	0.85	-	140.0	93	6	0.89
	@	@	decided	65	4	0.95	-	45.0	105	6	0.94
	@	@	decides	5	4	0.91	-	1.0	6	6	0.88
	@	@	deciding	3	4	0.56	-	12.0	8	6	0.68
	decision	NoC	%	24	4	0.83	-	807.7	210	6	0.83
	@	@	decision	17	4	0.81	-	585.8	152	6	0.83
	@	@	decisions	7	4	0.85	-	221.9	58	6	0.83
	definitely	Adv	:	121	4	0.91	+	61.7	72	6	0.89
	department	NoC	%	15	4	0.92	-	721.6	171	6	0.89
	@	@	department	14	4	0.91	-	581.0	144	6	0.89
	@	@	departments	1	3	0.59	-	146.3	28	6	0.90
	detail	NoC	%	25	4	0.94	-	388.7	133	6	0.87
	@	@	detail	7	4	0.77	-	289.7	71	6	0.81
	@	@	details	18	4	0.94	-	124.2	62	6	0.91
	develop	Verb	%	13	4	0.65	-	501.3	126	6	0.87
	@	@	develop	5	4	0.56	-	252.4	59	6	0.83
	@	@	developed	6	4	0.58	-	133.5	40	6	0.93
	@	@	developing	1	3	0.42	-	111.5	24	6	0.84
	@	@	develops	0	2	0.42	-	10.2	3	5	0.70
	development	NoC	%	9	4	0.68	-	1360.9	255	6	0.71
	@	@	development	8	3	0.65	-	1241.7	233	6	0.71
	@	@	developments	1	3	0.67	-	119.2	22	6	0.70
	die	Verb	%	131	4	0.90	-	4.2	146	6	0.87
	@	@	die	40	4	0.86	-	0.5	42	6	0.95
	@	@	died	72	4	0.87	-	4.5	84	6	0.82
	@	@	dies	5	4	0.74	-	0.4	6	6	0.79
	@	@	dying	14	4	0.84	+	0.0	13	6	0.65
	difference	NoC	%	102	4	0.90	-	142.6	194	6	0.93
	@	@	difference	100	4	0.90	-	70.4	161	6	0.93
	@	@	differences	2	4	0.50	-	158.9	33	6	0.82
	different	Adj	:	356	4	0.97	-	308.2	599	6	0.95
	difficult	Adj	:	95	4	0.89	-	443.0	275	6	0.93
	dinner	NoC	%	205	4	0.92	+	816.0	27	6	0.81
	@	@	dinner	198	4	0.91	+	808.1	25	6	0.81
	@	@	dinners	7	4	0.83	+	13.8	2	4	0.65
	discuss	Verb	%	16	4	0.87	-	526.6	139	6	0.87
	@	@	discuss	8	4	0.78	-	229.6	64	6	0.91
	@	@	discussed	3	4	0.66	-	212.1	47	6	0.80
	@	@	discussing	5	4	0.74	-	89.8	28	6	0.83
	discussion	NoC	%	11	4	0.58	-	505.4	122	6	0.78
	@	@	discussion	9	4	0.65	-	359.2	89	6	0.79
	@	@	discussions	2	3	0.26	-	147.0	33	6	0.72
	district	NoC	%	15	4	0.34	-	1060.8	228	6	0.65
	@	@	district	13	4	0.38	-	865.2	189	6	0.67
	@	@	districts	2	1	0.00	-	197.1	39	6	0.54
	do	Verb	%	22196	4	0.99	+	12983.8	12807	6	0.94
	@	@	d'	145	4	0.65	+	575.8	19	5	0.48
	@	@	did	4805	4	0.98	+	4247.5	2386	6	0.88
	@	@	do	12854	4	1.00	+	7687.4	7365	6	0.94
	@	@	does	1852	4	0.98	+	414.9	1342	6	0.96
	@	@	doing	1106	4	0.94	+	196.4	832	6	0.94
	@	@	done	1077	4	0.95	+	161.2	831	6	0.94
	@	@	du~*	357	4	0.85	+	1669.7	33	6	0.75
	doctor	NoC	%	113	4	0.83	-	38.7	159	6	0.73
	@	@	doctor	83	4	0.79	-	36.9	122	6	0.65
	@	@	doctors	30	4	0.82	-	3.7	37	6	0.81
	dog	NoC	%	301	4	0.89	+	766.0	74	6	0.92
	@	@	dog	241	4	0.89	+	706.0	51	6	0.93
	@	@	dogs	60	4	0.86	+	84.9	24	6	0.83
	door	NoC	%	463	4	0.90	+	658.0	181	6	0.88
	@	@	door	414	4	0.89	+	688.2	146	6	0.88
	@	@	doors	49	4	0.92	+	12.6	35	6	0.82
	down	Adv	:	1934	4	0.97	+	1009.6	1155	6	0.89
	down	Prep	:	206	4	0.93	+	52.8	146	6	0.85
	draw	Verb	%	91	4	0.82	-	110.9	167	6	0.90
	@	@	draw	51	4	0.82	-	59.1	93	6	0.87
	@	@	drawing	15	4	0.77	-	2.3	19	6	0.92
	@	@	drawn	13	4	0.80	-	62.0	38	6	0.87
	@	@	draws	3	4	0.77	-	3.4	5	6	0.74
	@	@	drew	8	4	0.73	-	3.3	12	6	0.85
	drink	NoC	%	163	4	0.93	+	510.5	32	6	0.79
	@	@	drink	137	4	0.92	+	460.6	24	6	0.79
	@	@	drinks	26	4	0.80	+	55.8	7	5	0.71
	drink	Verb	%	158	4	0.92	+	527.8	28	6	0.80
	@	@	drank	8	4	0.73	+	21.4	2	4	0.62
	@	@	drink	98	4	0.91	+	341.7	16	6	0.80
	@	@	drinking	33	4	0.88	+	77.1	9	6	0.71
	@	@	drinks	8	4	0.74	+	49.7	0	1	0.00
	@	@	drunk	13	4	0.93	+	55.0	1	3	0.55
	drive	Verb	%	196	4	0.93	+	159.4	100	6	0.88
	@	@	drive	83	4	0.89	+	78.3	40	6	0.87
	@	@	driven	7	4	0.86	-	7.0	12	6	0.84
	@	@	drives	10	4	0.82	+	14.3	4	6	0.82
	@	@	driving	71	4	0.94	+	62.7	35	6	0.81
	@	@	drove	25	4	0.88	+	38.5	9	6	0.76
	drop	Verb	%	144	4	0.93	+	115.0	74	6	0.92
	@	@	drop	68	4	0.94	+	70.6	31	6	0.85
	@	@	dropped	55	4	0.90	+	43.6	29	6	0.90
	@	@	dropping	11	4	0.75	+	3.1	8	6	0.88
	@	@	drops	9	4	0.81	+	2.9	6	6	0.90
	during	Prep	:	53	4	0.84	-	526.0	220	6	0.93
	E / e	Lett	%	174	4	0.73	-	271.3	341	6	0.88
	@	@	e	167	4	0.73	-	261.1	328	6	0.88
	@	@	e.	7	4	0.75	-	10.2	13	6	0.72
	each	DetP	:	160	4	0.96	-	209.9	299	6	0.92
	early	Adj	%	85	4	0.93	-	138.9	170	6	0.92
	@	@	earlier	10	4	0.92	-	80.9	38	6	0.86
	@	@	earliest	3	4	0.66	-	8.0	7	6	0.86
	@	@	early	72	4	0.91	-	70.2	124	6	0.92
	easy	Adj	%	192	4	0.96	-	15.4	229	6	0.93
	@	@	easier	57	4	0.97	-	6.1	70	6	0.90
	@	@	easiest	10	4	0.76	-	4.1	14	6	0.76
	@	@	easy	125	4	0.91	-	6.8	144	6	0.95
	eat	Verb	%	509	4	0.90	+	1855.1	79	6	0.77
	@	@	ate	30	4	0.80	+	111.6	5	5	0.56
	@	@	eat	347	4	0.90	+	1337.9	49	6	0.79
	@	@	eaten	35	4	0.91	+	113.7	6	5	0.65
	@	@	eating	78	4	0.91	+	234.3	16	6	0.71
	@	@	eats	19	4	0.76	+	66.6	3	5	0.77
	education	NoC	%	27	4	0.66	-	591.6	177	6	0.75
	@	@	education	27	4	0.66	-	589.9	176	6	0.75
	effect	NoC	%	22	4	0.81	-	718.3	188	6	0.83
	@	@	effect	16	4	0.83	-	521.8	136	6	0.82
	@	@	effects	6	4	0.73	-	196.6	51	6	0.82
	egg	NoC	%	121	4	0.87	+	299.2	31	6	0.76
	@	@	egg	61	4	0.80	+	167.6	14	6	0.77
	@	@	eggs	59	4	0.90	+	133.0	17	6	0.73
	eh	Int	:	461	4	0.88	+	2202.0	41	6	0.67
	eight	Num	%	590	4	0.89	-	5.2	625	6	0.91
	@	@	eight	580	4	0.89	-	8.0	624	6	0.91
	@	@	eights	9	4	0.68	+	37.2	1	3	0.54
	eighteen	Num	%	105	4	0.93	-	37.0	149	6	0.90
	@	@	eighteen	105	4	0.93	-	37.5	149	6	0.90
	eighty	Num	%	167	4	0.94	-	501.4	406	6	0.71
	@	@	eighties	3	4	0.73	-	61.4	20	6	0.79
	@	@	eighty	164	4	0.94	-	452.9	387	6	0.71
	either	Adv	:	183	4	0.97	-	7.5	207	6	0.94
	eleven	Num	%	178	4	0.92	+	23.2	140	6	0.93
	@	@	eleven	176	4	0.91	+	21.0	139	6	0.93
	else	Adv	:	499	4	0.97	+	8.9	458	6	0.92
	end	NoC	%	394	4	0.95	-	92.4	524	6	0.97
	@	@	end	381	4	0.95	-	88.7	507	6	0.97
	@	@	ends	13	4	0.69	-	3.7	18	6	0.84
	enjoy	Verb	%	128	4	0.87	+	10.2	106	6	0.90
	@	@	enjoy	61	4	0.82	+	4.4	51	6	0.90
	@	@	enjoyed	45	4	0.87	+	2.3	39	6	0.87
	@	@	enjoying	18	4	0.92	+	5.0	12	6	0.75
	@	@	enjoys	4	4	0.74	+	0.1	4	6	0.71
	enough	Adv	:	281	4	0.93	+	47.7	213	6	0.94
	enough	DetP	:	152	4	0.98	+	40.2	107	6	0.93
	er	Uncl	:	5075	4	0.93	-	10677.0	10913	6	0.86
	erm	Uncl	:	3946	4	0.89	-	5387.6	7454	6	0.96
	even	Adv	:	463	4	0.94	+	0.6	453	6	0.95
	evening	NoC	%	95	4	0.95	-	24.6	128	6	0.83
	@	@	evening	87	4	0.95	-	28.0	122	6	0.83
	@	@	evenings	8	4	0.91	+	0.4	7	6	0.89
	ever	Adv	:	287	4	0.93	+	3.3	267	6	0.91
	every	Det	:	442	4	0.95	-	3.0	466	6	0.94
	everybody	Pron	:	240	4	0.96	-	19.0	285	6	0.94
	everyone	Pron	:	126	4	0.60	+	3.1	113	6	0.94
	everything	Pron	:	433	4	0.97	+	105.4	309	6	0.92
	evidence	NoC	%	13	4	0.62	-	519.4	129	6	0.76
	@	@	evidence	13	4	0.62	-	518.5	129	6	0.76
	exactly	Adv	:	188	4	0.85	-	6.0	210	6	0.92
	example	NoC	%	19	4	0.59	-	586.1	157	6	0.90
	@	@	example	17	4	0.58	-	388.0	116	6	0.89
	@	@	examples	2	3	0.57	-	212.9	41	6	0.86
	expect	Verb	%	146	4	0.89	-	44.4	202	6	0.88
	@	@	expect	110	4	0.89	-	4.8	125	6	0.85
	@	@	expected	14	4	0.73	-	107.5	50	6	0.90
	@	@	expecting	20	4	0.82	-	0.8	23	6	0.85
	@	@	expects	2	3	0.62	-	1.8	4	5	0.68
	experience	NoC	%	39	4	0.90	-	417.5	168	6	0.92
	@	@	experience	37	4	0.88	-	342.1	148	6	0.93
	@	@	experiences	2	3	0.51	-	83.2	21	6	0.85
	explain	Verb	%	49	4	0.83	-	261.2	150	6	0.92
	@	@	explain	29	4	0.76	-	170.7	93	6	0.93
	@	@	explained	13	4	0.93	-	39.9	32	6	0.89
	@	@	explaining	4	3	0.61	-	26.0	13	6	0.88
	@	@	explains	3	3	0.63	-	28.4	11	6	0.71
	extra	Adj	:	100	4	0.89	-	18.9	129	6	0.89
	eye	NoC	%	148	4	0.92	+	60.7	95	6	0.93
	@	@	eye	58	4	0.94	+	3.2	50	6	0.92
	@	@	eyes	90	4	0.91	+	79.5	45	6	0.90
	F / f	Lett	%	58	4	0.78	-	273.5	169	6	0.85
	@	@	f	56	4	0.77	-	270.2	165	6	0.86
	@	@	f.	2	4	0.65	-	3.9	4	6	0.70
	face	NoC	%	154	4	0.96	+	102.3	86	6	0.93
	@	@	face	144	4	0.96	+	117.0	74	6	0.92
	@	@	faces	10	4	0.77	-	0.4	11	6	0.83
	fact	NoC	%	180	4	0.90	-	1759.3	740	6	0.90
	@	@	fact	177	4	0.90	-	1633.0	707	6	0.90
	@	@	facts	3	3	0.51	-	144.4	34	6	0.87
	fair	Adj	%	130	4	0.97	-	1.2	138	6	0.95
	@	@	fair	129	4	0.97	-	0.6	135	6	0.95
	@	@	fairer	1	3	0.59	-	5.1	3	4	0.60
	fairly	Adv	:	37	4	0.83	-	423.1	166	6	0.96
	fall	Verb	%	167	4	0.96	+	21.1	132	6	0.93
	@	@	fall	53	4	0.94	+	3.0	45	6	0.92
	@	@	fallen	17	4	0.84	-	0.8	19	6	0.83
	@	@	falling	29	4	0.92	+	3.4	23	6	0.87
	@	@	falls	8	4	0.92	-	9.4	14	6	0.89
	@	@	fell	60	4	0.89	+	50.0	30	6	0.88
	family	NoC	%	134	4	0.91	-	219.8	267	6	0.90
	@	@	families	12	4	0.87	-	183.4	63	6	0.86
	@	@	family	122	4	0.89	-	101.5	204	6	0.89
	far	Adj	%	86	4	0.93	-	359.8	238	6	0.92
	@	@	far	78	4	0.95	-	72.9	133	6	0.94
	@	@	further*	6	4	0.63	-	487.5	102	6	0.77
	@	@	furthest	2	4	0.80	+	0.1	2	5	0.67
	far	Adv	:	135	4	0.95	-	288.5	292	6	0.94
	Father	NoC	%	117	4	0.88	-	54.3	174	6	0.69
	@	@	Father	116	4	0.88	-	36.3	161	6	0.68
	@	@	fathers	1	3	0.67	-	49.8	13	6	0.74
	feel	Verb	%	474	4	0.91	-	56.8	583	6	0.96
	@	@	feel	305	4	0.90	-	68.6	404	6	0.96
	@	@	feeling	49	4	0.95	+	19.6	31	6	0.87
	@	@	feels	30	4	0.87	+	0.0	30	6	0.92
	@	@	felt	89	4	0.93	-	20.5	118	6	0.97
	few	DetP	:	278	4	0.88	-	96.6	392	6	0.95
	fifteen	Num	%	229	4	0.85	+	16.1	193	6	0.96
	@	@	fifteen	228	4	0.85	+	15.6	192	6	0.96
	fifty	Num	%	433	4	0.96	-	143.2	606	6	0.72
	@	@	fifties	12	4	0.80	-	10.6	20	6	0.83
	@	@	fifty	421	4	0.96	-	133.9	585	6	0.72
	figure	NoC	%	33	4	0.84	-	1284.0	319	6	0.71
	@	@	figure	15	4	0.85	-	618.1	152	6	0.67
	@	@	figures	17	4	0.77	-	666.0	167	6	0.74
	fill	Verb	%	126	4	0.93	+	29.9	91	6	0.89
	@	@	fill	76	4	0.95	+	24.0	52	6	0.86
	@	@	filled	29	4	0.84	+	1.5	25	6	0.91
	@	@	filling	15	4	0.94	+	4.2	11	6	0.82
	@	@	fills	6	4	0.86	+	3.5	3	6	0.78
	film	NoC	%	125	4	0.85	+	128.3	58	6	0.81
	@	@	film	103	4	0.87	+	148.2	40	6	0.83
	@	@	films	22	4	0.73	+	1.8	18	6	0.72
	financial	Adj	:	11	4	0.88	-	529.8	125	6	0.82
	find	Verb	%	652	4	0.98	-	164.0	876	6	0.95
	@	@	find	441	4	0.95	-	106.9	590	6	0.94
	@	@	finding	20	4	0.86	-	46.4	44	6	0.91
	@	@	finds	9	4	0.84	-	4.9	13	6	0.80
	@	@	found	181	4	0.98	-	27.7	229	6	0.93
fine	Adj	%	186	4	0.92	-	1.3	196	6	0.90
	@	@	fine	180	4	0.92	-	1.9	192	6	0.90
	@	@	finest	4	4	0.53	+	3.1	2	6	0.81
	finish	Verb	%	328	4	0.93	+	168.7	197	6	0.86
	@	@	finish	103	4	0.90	+	45.6	65	6	0.89
	@	@	finished	206	4	0.95	+	115.3	120	6	0.81
	@	@	finishes	11	4	0.80	+	17.9	4	6	0.83
	@	@	finishing	8	4	0.77	+	0.0	8	6	0.88
	fire	NoC	%	127	4	0.80	-	30.1	170	6	0.91
	@	@	fire	123	4	0.80	-	27.3	162	6	0.91
	@	@	fires	5	4	0.64	-	3.3	8	5	0.70
	first	Ord	:	715	4	0.97	-	452.5	1123	6	0.97
	fish	NoC	%	121	4	0.69	+	249.3	36	6	0.72
	@	@	fish	117	4	0.68	+	240.1	35	6	0.72
	@	@	fishes	4	4	0.77	+	9.3	1	2	0.18
	five	Num	%	1241	4	0.96	-	32.7	1371	6	0.90
	@	@	five	1224	4	0.96	-	38.2	1365	6	0.90
	@	@	fives	16	4	0.78	+	24.8	6	5	0.65
	flat	NoC	%	59	4	0.86	-	182.2	145	6	0.57
	@	@	flat	44	4	0.88	-	1.0	48	6	0.62
	@	@	flats	16	4	0.74	-	314.9	98	6	0.45
	floor	NoC	%	146	4	0.90	+	139.9	70	6	0.83
	@	@	floor	140	4	0.90	+	147.4	64	6	0.85
	@	@	floors	6	4	0.74	+	0.0	6	6	0.64
	follow	Verb	%	54	4	0.90	-	376.2	188	6	0.91
	@	@	follow	30	4	0.82	-	106.1	77	6	0.92
	@	@	followed	10	4	0.88	-	92.8	40	6	0.86
	@	@	following	11	4	0.94	-	106.0	46	6	0.84
	@	@	follows	3	4	0.77	-	91.7	25	6	0.79
	food	NoC	%	131	4	0.88	+	4.8	115	6	0.80
	@	@	food	126	4	0.88	+	5.7	110	6	0.80
	@	@	foods	5	4	0.49	-	0.5	6	6	0.74
	foot	NoC	%	223	4	0.89	+	117.6	132	6	0.90
	@	@	feet	106	4	0.88	+	35.4	71	6	0.86
	@	@	foot	117	4	0.87	+	88.2	62	6	0.89
	for	Prep	:	5366	4	0.96	-	883.6	6837	6	0.98
	for example	Adv	:	13	4	0.79	-	762.1	171	6	0.88
	forget	Verb	%	280	4	0.98	+	152.6	165	6	0.90
	@	@	forget	134	4	0.93	+	16.5	106	6	0.89
	@	@	forgets	3	3	0.39	+	9.0	1	3	0.50
	@	@	forgetting	10	4	0.94	+	4.3	7	6	0.79
	@	@	forgot	80	4	0.97	+	218.3	18	6	0.87
	@	@	forgotten	53	4	0.95	+	21.7	34	6	0.90
	form	NoC	%	70	4	0.91	-	493.2	244	6	0.87
	@	@	form	58	4	0.91	-	334.9	185	6	0.89
	@	@	forms	12	4	0.84	-	166.9	59	6	0.76
	forty	Num	%	321	4	0.94	-	103.9	448	6	0.91
	@	@	forties	7	4	0.70	-	2.2	10	6	0.80
	@	@	forty	314	4	0.93	-	101.7	438	6	0.91
	forward	Adv	:	50	4	0.94	-	561.4	221	6	0.82
	four	Num	%	1161	4	0.91	-	14.2	1243	6	0.92
	@	@	four	1147	4	0.90	-	16.0	1234	6	0.91
	@	@	fours	14	4	0.85	+	4.8	9	6	0.65
	fourteen	Num	%	80	4	0.96	-	57.0	129	6	0.88
	@	@	fourteen	79	4	0.96	-	56.2	128	6	0.88
	free	Adj	%	93	4	0.89	-	28.1	128	6	0.91
	@	@	free	93	4	0.89	-	26.4	127	6	0.91
	Friday	NoP	%	233	4	0.95	+	270.6	102	6	0.91
	@	@	Friday	225	4	0.94	+	257.2	99	6	0.91
	@	@	Fridays	8	4	0.84	+	14.4	2	4	0.62
	friend	NoC	%	228	4	0.82	+	15.2	192	6	0.82
	@	@	friend	123	4	0.82	+	29.5	88	6	0.68
	@	@	friends	104	4	0.81	+	0.0	104	6	0.89
	from	Prep	:	1315	4	0.98	-	2593.2	2769	6	0.95
	fuck	Verb	%	124	4	0.54	+	899.5	1	3	0.50
	@	@	fuck	100	4	0.53	+	737.0	0	2	0.37
	@	@	fucked	12	4	0.44	+	83.0	0	1	0.00
	@	@	fucking	10	4	0.53	+	67.2	0	1	0.00
	fucking	Adj	:	278	4	0.62	+	1998.3	2	4	0.50
	fucking	Adv	:	226	4	0.50	+	1677.8	0	3	0.55
	full	Adj	%	185	4	0.87	-	19.7	225	6	0.94
	@	@	full	183	4	0.87	-	18.3	222	6	0.94
	@	@	fuller	1	3	0.57	-	1.0	2	4	0.58
	fund	NoC	%	8	4	0.86	-	608.4	130	6	0.63
	@	@	fund	6	4	0.82	-	382.9	83	6	0.54
	@	@	funds	3	4	0.83	-	225.8	47	6	0.74
	funny	Adj	%	326	4	0.91	+	1154.5	53	6	0.84
	@	@	funniest	3	4	0.66	+	12.5	0	3	0.55
	@	@	funny	321	4	0.92	+	1133.3	52	6	0.84
	further	Adv	:	48	4	0.92	-	192.0	131	6	0.90
	future	NoC	%	19	4	0.85	-	588.4	156	6	0.88
	@	@	future	19	4	0.85	-	576.9	154	6	0.88
	@	@	futures	0	0	0.00	-	13.6	2	4	0.47
	G / g	Lett	%	76	4	0.80	-	533.0	265	6	0.79
	@	@	g	72	4	0.79	-	532.9	257	6	0.79
	@	@	g.	4	4	0.65	-	5.1	8	5	0.66
	game	NoC	%	173	4	0.89	+	21.9	136	6	0.64
	@	@	game	124	4	0.95	+	9.8	103	6	0.62
	@	@	games	49	4	0.69	+	15.1	33	6	0.69
	garden	NoC	%	161	4	0.81	+	234.9	62	6	0.90
	@	@	garden	146	4	0.81	+	268.7	48	6	0.91
	@	@	gardens	15	4	0.75	+	0.2	14	6	0.78
	general	Adj	:	33	4	0.91	-	898.5	250	6	0.90
	get	Verb	%	13069	4	0.98	+	11068.1	6604	6	0.91
	@	@	get	4712	4	0.97	+	3118.5	2611	6	0.92
	@	@	gets	297	4	0.93	+	295.4	140	6	0.94
	@	@	getting	633	4	0.95	+	114.9	475	6	0.94
	@	@	got	7425	4	0.98	+	7978.5	3376	6	0.91
	@	@	gotten	2	4	0.86	-	0.5	2	5	0.67
	girl	NoC	%	431	4	0.94	+	871.7	131	6	0.86
	@	@	girl	295	4	0.95	+	881.1	61	6	0.85
	@	@	girls	135	4	0.86	+	106.1	70	6	0.83
	give	Verb	%	1334	4	0.99	-	44.1	1492	6	0.96
	@	@	gave	154	4	0.93	+	2.0	143	6	0.91
	@	@	give	923	4	0.98	+	49.9	793	6	0.95
	@	@	given	106	4	0.93	-	485.6	305	6	0.93
	@	@	gives	61	4	0.92	-	102.8	122	6	0.94
	@	@	giving	89	4	0.95	-	35.7	129	6	0.92
	glass	NoC	%	143	4	0.93	+	305.4	42	6	0.85
	@	@	glass	70	4	0.90	+	87.0	30	6	0.83
	@	@	glasses	73	4	0.89	+	255.2	12	6	0.85
	go	NoC	%	158	4	0.78	+	212.9	63	6	0.95
	@	@	go	153	4	0.77	+	209.5	61	6	0.95
	@	@	goes	4	4	0.54	+	3.8	2	4	0.65
	go	Verb	%	8740	4	0.97	+	8780.7	4102	6	0.92
	@	@	go	4192	4	0.98	+	4105.6	1990	6	0.92
	@	@	goes	802	4	0.78	+	1227.7	299	6	0.96
	@	@	going*	1823	4	0.96	+	1721.3	880	6	0.94
	@	@	gone	622	4	0.92	+	688.3	279	6	0.97
	@	@	went	1302	4	0.92	+	1118.0	654	6	0.80
	god	NoC	%	205	4	0.94	+	632.4	40	6	0.66
	@	@	god	203	4	0.93	+	697.5	34	6	0.65
	@	@	gods	2	3	0.51	-	11.9	6	5	0.38
	God	NoP	:	418	4	0.85	+	292.8	227	6	0.77
	going (to)*	Verb	%	2560	4	0.97	+	825.2	1727	6	0.93
	@	@	going	642	4	0.85	-	592.4	1096	6	0.92
	@	@	gon~	1918	4	0.93	+	3526.4	631	6	0.83
	good	Adj	%	2429	4	0.99	+	383.4	1859	6	0.95
	@	@	best	196	4	0.93	-	13.5	230	6	0.94
	@	@	better	350	4	0.99	+	40.1	279	6	0.96
	@	@	good	1883	4	0.99	+	447.0	1349	6	0.93
	government	NoC	%	29	4	0.88	-	2430.6	505	6	0.82
	@	@	government	28	4	0.87	-	2292.2	478	6	0.82
	@	@	governments	1	2	0.40	-	138.8	27	6	0.77
	great	Adj	%	259	4	0.95	-	513.2	546	6	0.92
	@	@	great	250	4	0.95	-	264.1	441	6	0.90
	@	@	greater	5	4	0.80	-	384.0	81	6	0.86
	@	@	greatest	4	4	0.59	-	72.8	24	6	0.86
	ground	NoC	%	54	4	0.87	-	160.3	130	6	0.89
	@	@	ground	46	4	0.88	-	110.3	104	6	0.89
	@	@	grounds	7	4	0.83	-	55.3	26	6	0.80
	group	NoC	%	92	4	0.76	-	1476.7	500	6	0.93
	@	@	group	70	4	0.78	-	1078.9	372	6	0.92
	@	@	groups	22	4	0.70	-	398.5	128	6	0.92
	H / h	Lett	%	68	4	0.88	-	214.1	168	6	0.74
	@	@	H / h	64	4	0.88	-	222.0	164	6	0.75
	@	@	H. / h.	4	4	0.76	-	0.0	4	5	0.33
	ha	Int	:	499	4	0.94	+	2728.2	29	6	0.71
	hair	NoC	%	231	4	0.90	+	810.8	38	6	0.69
	@	@	hair	222	4	0.90	+	787.0	36	6	0.69
	@	@	hairs	9	4	0.66	+	24.6	2	5	0.71
	half	DetP	:	590	4	0.99	+	354.4	337	6	0.95
	half	NoC	%	101	4	0.93	-	15.5	127	6	0.84
	@	@	half	98	4	0.93	-	14.2	123	6	0.83
	@	@	halves	2	4	0.74	-	2.6	4	6	0.72
	hand	NoC	%	307	4	0.90	-	1.1	319	6	0.95
	@	@	hand	219	4	0.90	-	0.2	222	6	0.93
	@	@	hands	89	4	0.84	-	1.8	97	6	0.93
	hang	Verb	%	221	4	0.91	+	286.6	91	6	0.86
	@	@	hang	165	4	0.87	+	229.8	65	6	0.84
	@	@	hanging	39	4	0.89	+	57.8	15	6	0.83
	@	@	hangs	6	4	0.69	+	8.8	2	6	0.78
	@	@	hung	11	4	0.82	+	2.1	8	6	0.81
	happen	Verb	%	373	4	0.93	-	541.1	717	6	0.94
	@	@	happen	74	4	0.90	-	338.2	212	6	0.92
	@	@	happened	170	4	0.94	-	23.8	213	6	0.95
	@	@	happening	47	4	0.91	-	136.9	113	6	0.90
