	Word	PoS		FrIm	Ra	DiIm		LL    	FrIn	Ra	DiIn
	@	@	continued	158	19	0.94	+	298.9	107	71	0.94
	@	@	continues	6	19	0.81	-	1071.9	53	71	0.95
	@	@	continuing	11	19	0.89	-	132.0	23	71	0.95
	contract	NoC	%	25	19	0.87	-	4003.8	204	71	0.82
	@	@	contract	20	19	0.87	-	2771.1	146	71	0.81
	@	@	contracts	6	18	0.81	-	1239.8	58	71	0.83
	control	NoC	%	91	19	0.95	-	4072.3	343	71	0.95
	@	@	control	85	19	0.95	-	3392.8	301	71	0.95
	@	@	controls	7	19	0.82	-	718.3	42	71	0.87
	corner	NoC	%	195	19	0.97	+	2323.2	63	71	0.94
	@	@	corner	166	19	0.96	+	2185.2	50	71	0.93
	@	@	corners	29	19	0.96	+	190.0	13	69	0.92
	cost	NoC	%	24	19	0.89	-	8293.6	345	71	0.94
	@	@	cost	17	19	0.86	-	4148.7	188	71	0.94
	@	@	costs	7	19	0.88	-	4203.0	157	71	0.93
	could	VMod	:	3159	19	0.99	+	27055.4	1263	71	0.98
	council	NoC	%	39	19	0.86	-	8927.5	410	71	0.90
	@	@	council	38	19	0.86	-	7792.6	368	71	0.89
	@	@	councils	1	13	0.80	-	1193.2	42	71	0.89
	country	NoC	%	172	19	0.93	-	6660.8	601	71	0.93
	@	@	countries	13	19	0.88	-	5595.8	224	71	0.90
	@	@	country	159	19	0.93	-	2482.3	377	71	0.94
	couple	NoC	%	202	19	0.95	+	890.7	109	71	0.93
	@	@	couple	192	19	0.95	+	1190.2	90	71	0.92
	@	@	couples	10	19	0.91	-	70.6	18	71	0.89
	course	NoC	%	84	19	0.94	-	4043.5	328	71	0.91
	@	@	course	77	19	0.93	-	1957.2	222	71	0.93
	@	@	courses	7	18	0.89	-	2572.8	106	71	0.84
	court	NoC	%	82	19	0.88	-	7134.2	447	71	0.86
	@	@	court	74	19	0.88	-	5526.7	368	71	0.84
	@	@	courts	8	19	0.86	-	1675.9	79	71	0.88
	cover	Verb	%	159	19	0.97	-	188.9	208	71	0.96
	@	@	cover	35	19	0.95	-	359.0	72	71	0.96
	@	@	covered	99	19	0.96	+	79.5	77	71	0.95
	@	@	covering	20	19	0.94	-	98.2	34	71	0.95
	@	@	covers	4	19	0.91	-	392.7	24	71	0.94
	create	Verb	%	48	19	0.94	-	4704.9	281	71	0.96
	@	@	create	14	19	0.91	-	2009.5	106	71	0.96
	@	@	created	22	19	0.93	-	1654.5	110	71	0.96
	@	@	creates	2	16	0.83	-	411.3	19	70	0.93
	@	@	creating	9	19	0.92	-	673.7	46	71	0.96
	cry	Verb	%	232	19	0.92	+	7183.3	24	70	0.89
	@	@	cried	133	19	0.89	+	5355.8	7	62	0.89
	@	@	cries	5	19	0.60	+	38.0	2	51	0.88
	@	@	cry	52	19	0.95	+	1186.8	9	68	0.86
	@	@	crying	43	19	0.92	+	1071.6	6	64	0.87
	cut	Verb	%	191	19	0.98	+	9.7	180	71	0.95
	@	@	cut	162	19	0.98	+	63.5	137	71	0.95
	@	@	cuts	6	19	0.85	-	91.8	13	71	0.91
	@	@	cutting	23	19	0.94	-	22.1	29	71	0.95
	dark	Adj	:	345	19	0.96	+	8729.2	51	71	0.93	
	@	@	dark	345	19	0.96	+	8729.2	51	71	0.93
	@	@	darker	&&	&&	&&	&&		&&	&&	&&
	@	@	darkest	&&	&&	&&	&&		&&	&&	&&
	data/datum*	NoC	%	8	17	0.74	-	6832.1	247	71	0.87
	@	@	data	8	17	0.74	-	6812.3	246	71	0.87
	@	@	datum	0	1	0.00	-	19.7	1	30	0.82
	date	NoC	%	45	19	0.93	-	3335.1	223	71	0.75
	@	@	date	36	19	0.91	-	3251.6	201	71	0.73
	@	@	dates	9	19	0.92	-	153.3	22	71	0.93
	day	NoC	%	1186	19	0.97	+	1593.5	859	71	0.96
	@	@	day	803	19	0.97	+	1576.1	540	71	0.96
	@	@	days	383	19	0.97	+	178.6	319	71	0.96
	dead	Adj	%	276	19	0.94	+	3816.9	80	71	0.93
	@	@	dead	276	19	0.94	+	3814.3	80	71	0.93
	deal	Verb	%	76	19	0.95	-	1377.0	191	71	0.95
	@	@	deal	37	19	0.94	-	318.6	72	71	0.94
	@	@	dealing	21	19	0.92	-	571.3	62	71	0.93
	@	@	deals	2	16	0.83	-	315.5	16	71	0.92
	@	@	dealt	16	19	0.92	-	289.6	41	71	0.93
	death	NoC	%	262	19	0.94	+	14.7	246	71	0.95
	@	@	death	247	19	0.94	+	62.7	216	71	0.95
	@	@	deaths	14	19	0.85	-	149.7	30	71	0.89
	decide	Verb	%	285	19	0.97	+	84.5	246	71	0.97
	@	@	decide	43	19	0.94	-	206.0	73	71	0.96
	@	@	decided	224	19	0.97	+	600.5	140	71	0.97
	@	@	decides	5	19	0.85	-	66.1	10	71	0.94
	@	@	deciding	12	19	0.91	-	83.7	23	71	0.93
	decision	NoC	%	67	19	0.91	-	4287.0	305	71	0.93
	@	@	decision	54	19	0.91	-	2528.9	208	71	0.92
	@	@	decisions	13	19	0.89	-	1853.4	97	71	0.94
	deep	Adj	%	188	19	0.96	+	1389.9	81	71	0.96
	@	@	deep	168	19	0.95	+	1624.2	63	71	0.95
	@	@	deeper	13	19	0.93	-	0.9	14	71	0.94
	@	@	deepest	7	19	0.85	+	12.2	5	70	0.93
	department	NoC	%	40	19	0.91	-	5182.6	282	71	0.87
	@	@	department	37	19	0.92	-	3858.5	226	71	0.84
	@	@	departments	3	17	0.81	-	1398.3	56	71	0.90
	describe	Verb	%	60	19	0.93	-	4733.4	307	71	0.96
	@	@	describe	21	19	0.92	-	368.9	52	71	0.94
	@	@	described	30	19	0.94	-	3457.7	196	71	0.94
	@	@	describes	2	13	0.76	-	958.9	36	71	0.95
	@	@	describing	7	19	0.83	-	256.3	24	71	0.95
	design	NoC	%	32	19	0.89	-	3270.3	193	71	0.92
	@	@	design	21	19	0.90	-	2959.0	157	71	0.92
	@	@	designs	11	19	0.79	-	381.1	36	71	0.90
	detail	NoC	%	80	19	0.96	-	1751.0	217	71	0.95
	@	@	detail	27	19	0.95	-	557.4	72	71	0.95
	@	@	details	53	19	0.96	-	1194.2	145	71	0.93
	develop	Verb	%	31	19	0.92	-	6679.2	313	71	0.95
	@	@	develop	10	19	0.89	-	2556.0	113	71	0.95
	@	@	developed	16	19	0.90	-	2989.5	145	71	0.94
	@	@	developing	5	19	0.91	-	824.0	41	71	0.94
	@	@	develops	1	8	0.69	-	321.4	13	71	0.93
	development	NoC	%	18	19	0.90	-	13677.0	500	71	0.93
	@	@	development	14	19	0.88	-	11999.2	431	71	0.93
	@	@	developments	4	19	0.84	-	1700.5	69	71	0.93
	die	Verb	%	316	19	0.96	+	699.2	207	71	0.91
	@	@	die	105	19	0.93	+	913.3	42	71	0.93
	@	@	died	166	19	0.97	+	60.1	142	71	0.87
	@	@	dies	10	19	0.90	-	1.9	11	69	0.91
	@	@	dying	35	19	0.93	+	336.4	13	71	0.92
	difference	NoC	%	64	19	0.96	-	2606.9	229	71	0.94
	@	@	difference	58	19	0.96	-	671.3	124	71	0.94
	@	@	differences	6	19	0.88	-	2649.0	105	71	0.92
	different	Adj	:	239	19	0.98	-	3337.8	544	71	0.95
	difficult	Adj	:	134	19	0.97	-	908.7	245	71	0.97
	director	NoC	%	34	19	0.85	-	3751.2	215	71	0.93
	@	@	director	27	19	0.83	-	2662.0	158	71	0.93
	@	@	directors	7	17	0.76	-	1096.6	57	71	0.89
	do	Verb	%	8745	19	0.98	+	88201.9	3172	71	0.97
	@	@	d'	46	19	0.87	+	2297.4	1	31	0.80
	@	@	did	3011	19	0.97	+	49688.6	743	71	0.97
	@	@	do	4312	19	0.98	+	50145.7	1422	71	0.96
	@	@	does	573	19	0.97	-	8.4	591	71	0.95
	@	@	doing	342	19	0.97	+	1961.0	166	71	0.96
	@	@	done	446	19	0.98	+	1813.1	247	71	0.97
	@	@	doth	1	15	0.83	-	0.1	1	37	0.84
	@	@	du~*	13	19	0.51	+	524.3	1	14	0.62
	doctor	NoC	%	275	19	0.90	+	2039.5	119	71	0.92
	@	@	doctor	255	19	0.89	+	4005.6	66	71	0.90
	@	@	doctors	21	19	0.88	-	397.6	53	71	0.90
	door	NoC	%	1007	19	0.97	+	28874.9	120	71	0.93
	@	@	door	903	19	0.97	+	29059.0	85	71	0.93
	@	@	doors	104	19	0.95	+	1198.3	35	71	0.92
	down	Adv	:	1688	19	0.99	+	20723.2	535	71	0.95
	down	Prep	:	217	19	0.96	+	3344.4	57	71	0.91
	draw	Verb	%	293	19	0.96	+	328.2	219	71	0.97
	@	@	draw	43	19	0.95	-	104.8	62	71	0.96
	@	@	drawing	40	19	0.93	+	31.5	31	71	0.95
	@	@	drawn	74	19	0.96	-	12.8	82	71	0.97
	@	@	draws	4	17	0.85	-	170.8	14	69	0.94
	@	@	drew	133	19	0.93	+	2490.7	29	71	0.96
	drive	Verb	%	284	19	0.95	+	2026.4	125	71	0.94
	@	@	drive	74	19	0.95	+	461.4	34	71	0.94
	@	@	driven	43	19	0.94	+	82.9	29	71	0.95
	@	@	drives	6	18	0.86	-	4.4	7	68	0.92
	@	@	driving	57	19	0.95	+	226.0	32	71	0.89
	@	@	drove	104	19	0.92	+	1980.4	22	70	0.91
	drop	Verb	%	206	19	0.97	+	1755.3	82	71	0.95
	@	@	drop	50	19	0.95	+	299.0	24	71	0.94
	@	@	dropped	127	19	0.97	+	1463.9	42	71	0.94
	@	@	dropping	24	19	0.94	+	192.9	10	70	0.94
	@	@	drops	5	17	0.86	-	6.2	7	68	0.93
	during	Prep	:	161	19	0.94	-	6065.6	554	71	0.96
	each	DetP	:	252	19	0.95	-	4209.1	613	71	0.96
	each other	Pron	:	194	19	0.97	+	1178.3	92	71	0.95
	early	Adj	%	146	19	0.97	-	4068.9	438	71	0.97
	@	@	earlier	29	19	0.94	-	806.8	87	71	0.95
	@	@	earliest	4	18	0.86	-	384.7	24	71	0.93
	@	@	early	113	19	0.97	-	2914.9	327	71	0.97
	easy	Adj	%	179	19	0.97	-	32.0	200	71	0.95
	@	@	easier	34	19	0.94	-	61.3	48	71	0.95
	@	@	easiest	5	18	0.87	-	19.7	8	70	0.92
	@	@	easy	140	19	0.97	-	1.8	144	71	0.95
	eat	Verb	%	264	19	0.96	+	2600.6	97	71	0.91
	@	@	ate	55	19	0.95	+	1354.8	8	69	0.90
	@	@	eat	124	19	0.95	+	1072.0	49	71	0.90
	@	@	eaten	33	19	0.96	+	296.0	13	68	0.90
	@	@	eating	48	19	0.96	+	266.4	24	69	0.90
	@	@	eats	4	19	0.85	+	6.6	3	60	0.90
	economic	Adj	:	7	18	0.79	-	9389.8	321	71	0.89
	education	NoC	%	23	19	0.88	-	8245.0	342	71	0.92
	@	@	education	23	19	0.88	-	8261.4	342	71	0.92
	effect	NoC	%	87	19	0.94	-	6470.3	431	71	0.95
	@	@	effect	73	19	0.93	-	3594.9	289	71	0.94
	@	@	effects	14	19	0.91	-	3115.0	143	71	0.93
	either	Adv	:	166	19	0.97	-	355.3	237	71	0.96
	election	NoC	%	13	19	0.71	-	5142.4	208	71	0.78
	@	@	election	11	19	0.68	-	2865.3	128	71	0.83
	@	@	elections	1	13	0.75	-	2368.4	79	71	0.66
	else	Adv	:	402	19	0.97	+	5314.5	121	71	0.96
	end	NoC	%	414	19	0.98	-	94.8	468	71	0.98
	@	@	end	394	19	0.98	-	57.5	434	71	0.98
	@	@	ends	20	19	0.93	-	92.4	33	71	0.93
	England	NoP	%	102	19	0.92	-	2533.1	290	71	0.93
	@	@	England	102	19	0.92	-	2530.8	290	71	0.93
	enough	Adv	:	451	19	0.98	+	3483.8	191	71	0.96
	ensure	Verb	%	24	19	0.90	-	3612.8	186	71	0.94
	@	@	ensure	15	19	0.90	-	2764.4	135	71	0.93
	@	@	ensured	4	18	0.83	-	124.6	13	71	0.95
	@	@	ensures	0	5	0.54	-	334.3	12	71	0.93
	@	@	ensuring	4	18	0.88	-	467.5	26	71	0.94
	environment	NoC	%	11	19	0.86	-	4735.1	190	71	0.89
	@	@	environment	10	19	0.88	-	4239.2	170	71	0.90
	@	@	environments	1	6	0.35	-	495.9	20	68	0.78
	especially	Adv	:	92	19	0.96	-	1338.7	212	71	0.96
	establish	Verb	%	27	19	0.94	-	4761.1	235	71	0.95
	@	@	establish	10	19	0.92	-	1303.1	69	71	0.95
	@	@	established	15	19	0.91	-	2700.2	133	71	0.95
	@	@	establishes	0	2	0.31	-	135.2	5	68	0.90
	@	@	establishing	2	17	0.85	-	643.5	28	71	0.94
	Europe	NoP	%	33	19	0.89	-	4443.9	237	71	0.92
	@	@	Europe	33	19	0.89	-	4440.0	237	71	0.92
	European	Adj	:	18	19	0.67	-	6262.4	260	71	0.92
	even	Adv	:	971	19	0.98	+	1473.6	688	71	0.96
	evening	NoC	%	319	19	0.96	+	3225.7	115	71	0.93
	@	@	evening	293	19	0.95	+	3114.2	103	71	0.92
	@	@	evenings	26	19	0.89	+	144.7	13	70	0.92
	event	NoC	%	71	19	0.94	-	3197.0	267	71	0.96
	@	@	event	28	19	0.92	-	1963.9	134	71	0.94
	@	@	events	43	19	0.94	-	1289.3	132	71	0.95
	ever	Adv	:	486	19	0.98	+	4045.4	197	71	0.96
	every	Det	:	482	19	0.97	+	423.9	372	71	0.97
	everyone	Pron	:	211	19	0.95	+	892.2	115	71	0.95
	everything	Pron	:	361	19	0.97	+	4340.6	116	71	0.95
	evidence	NoC	%	68	19	0.90	-	3442.5	273	71	0.94
	@	@	evidence	68	19	0.90	-	3440.8	272	71	0.94
	@	@	evidences	0	3	0.42	-	2.7	0	17	0.70
	example	NoC	%	20	19	0.92	-	5899.5	255	71	0.93
	@	@	example	16	19	0.92	-	3414.3	160	71	0.93
	@	@	examples	4	17	0.80	-	2541.2	95	71	0.92
	expect	Verb	%	329	19	0.97	+	62.0	293	71	0.95
	@	@	expect	144	19	0.95	+	321.4	94	71	0.96
	@	@	expected	130	19	0.97	-	134.8	167	71	0.94
	@	@	expecting	51	19	0.95	+	751.8	14	71	0.93
	@	@	expects	5	18	0.87	-	213.6	18	69	0.77
	experience	NoC	%	83	19	0.96	-	2860.2	275	71	0.95
	@	@	experience	75	19	0.96	-	2190.5	230	71	0.95
	@	@	experiences	8	19	0.93	-	725.0	44	71	0.92
	explain	Verb	%	225	19	0.98	+	54.6	197	71	0.97
	@	@	explain	93	19	0.97	+	41.0	78	71	0.95
	@	@	explained	109	19	0.96	+	308.9	67	71	0.96
	@	@	explaining	16	19	0.93	-	10.2	20	71	0.95
	@	@	explains	6	18	0.81	-	495.3	32	70	0.95
	eye	NoC	%	1420	19	0.94	+	41246.1	165	71	0.94
	@	@	eye	187	19	0.97	+	1515.6	77	71	0.95
	@	@	eyes	1233	19	0.93	+	44487.1	88	71	0.93
	face	NoC	%	1098	19	0.97	+	30027.8	142	71	0.95
	@	@	face	1014	19	0.97	+	29261.6	119	71	0.95
	@	@	faces	84	19	0.93	+	1249.0	23	71	0.93
	fact	NoC	%	317	19	0.95	-	583.6	442	71	0.96
	@	@	fact	286	19	0.95	-	373.0	379	71	0.96
	@	@	facts	31	19	0.92	-	296.3	63	71	0.90
	factor	NoC	%	11	19	0.85	-	5041.1	199	71	0.93
	@	@	factor	8	19	0.86	-	1747.7	82	71	0.91
	@	@	factors	3	15	0.74	-	3392.2	117	71	0.93
	fail	Verb	%	90	19	0.97	-	1096.5	196	71	0.97
	@	@	fail	18	19	0.95	-	219.1	39	71	0.96
	@	@	failed	56	19	0.96	-	441.5	107	71	0.95
	@	@	failing	11	19	0.93	-	173.3	26	71	0.95
	@	@	fails	5	19	0.82	-	345.8	24	71	0.94
	fall	Verb	%	427	19	0.97	+	1406.5	252	71	0.96
	@	@	fall	84	19	0.96	+	43.4	69	71	0.96
	@	@	fallen	62	19	0.96	+	292.4	32	71	0.95
	@	@	falling	69	19	0.96	+	231.9	40	71	0.96
	@	@	falls	10	19	0.88	-	205.4	26	71	0.95
	@	@	fell	202	19	0.96	+	1614.4	84	71	0.93
	family	NoC	%	317	19	0.95	-	1031.6	488	71	0.95
	@	@	families	28	19	0.92	-	1205.6	103	71	0.93
	@	@	family	289	19	0.95	-	390.5	385	71	0.95
	far	Adj	%	180	19	0.97	-	1279.1	333	71	0.97
	@	@	far	107	19	0.95	+	599.4	52	71	0.96
	@	@	farther	3	19	0.85	+	35.7	1	28	0.81
	@	@	farthest	2	12	0.77	+	19.6	0	25	0.80
	@	@	further*	66	19	0.96	-	3641.4	278	71	0.96
	@	@	furthest	3	16	0.84	+	10.3	2	46	0.88
	far	Adv	%	348	19	0.97	+	58.1	312	71	0.97
	father	NoC	%	627	19	0.94	+	9389.6	169	71	0.93
	@	@	father	618	19	0.94	+	9966.3	156	71	0.92
	@	@	fathers	10	19	0.86	-	20.0	14	70	0.90
	feel	Verb	%	1491	19	0.96	+	21714.7	412	71	0.95
	@	@	feel	451	19	0.95	+	3529.5	189	71	0.94
	@	@	feeling	165	19	0.92	+	3320.3	33	71	0.93
	@	@	feels	33	19	0.88	+	0.0	33	71	0.94
	@	@	felt	841	19	0.97	+	17906.8	157	71	0.95
	feeling	NoC	%	214	19	0.94	+	1052.3	111	71	0.94
	@	@	feeling	139	19	0.95	+	1086.5	58	71	0.95
	@	@	feelings	76	19	0.91	+	126.5	53	71	0.91
	few	DetP	:	584	19	0.98	+	705.0	431	71	0.97
	field	NoC	%	136	19	0.92	-	749.2	235	71	0.93
	@	@	field	82	19	0.90	-	867.1	171	71	0.93
	@	@	fields	53	19	0.92	-	27.9	64	71	0.92
	figure	NoC	%	160	19	0.96	-	1574.8	325	71	0.94
	@	@	figure	119	19	0.96	-	509.9	194	71	0.92
	@	@	figures	41	19	0.93	-	1312.4	131	71	0.94
	financial	Adj	:	21	19	0.92	-	4643.6	215	71	0.93
	find	Verb	%	1277	19	0.98	+	1494.0	946	71	0.97
	@	@	find	555	19	0.97	+	1144.6	369	71	0.96
	@	@	finding	69	19	0.95	+	57.0	54	71	0.97
	@	@	finds	17	19	0.89	-	161.9	34	71	0.94
	@	@	found	636	19	0.98	+	583.4	489	71	0.97
	finger	NoC	%	312	19	0.95	+	9055.0	36	70	0.92
	@	@	finger	97	19	0.95	+	2298.2	16	70	0.92
	@	@	fingers	215	19	0.93	+	6872.5	21	69	0.91
	finish	Verb	%	199	19	0.98	+	1659.1	81	71	0.93
	@	@	finish	38	19	0.95	+	192.8	20	71	0.93
	@	@	finished	150	19	0.97	+	1751.9	50	71	0.93
	@	@	finishes	2	16	0.85	-	4.0	3	58	0.89
	@	@	finishing	9	19	0.92	-	0.4	9	67	0.90
	fire	NoC	%	238	19	0.95	+	1250.1	120	71	0.91
	@	@	fire	220	19	0.95	+	1221.8	109	71	0.91
	@	@	fires	18	19	0.89	+	44.2	12	71	0.90
	firm	NoC	%	36	19	0.91	-	3492.4	211	71	0.88
	@	@	firm	32	19	0.92	-	1173.7	110	71	0.86
	@	@	firms	4	17	0.78	-	2727.7	101	71	0.88
	first	Ord	:	862	19	0.97	-	2651.0	1312	71	0.98
	five	Num	%	218	19	0.94	-	616.1	326	71	0.95
	@	@	five	217	19	0.94	-	611.7	325	71	0.95
	@	@	fives	1	6	0.56	-	5.2	1	31	0.72
	floor	NoC	%	300	19	0.96	+	4170.9	86	71	0.94
	@	@	floor	286	19	0.96	+	4468.1	74	71	0.94
	@	@	floors	15	19	0.91	+	6.0	12	68	0.90
	follow	Verb	%	355	19	0.97	-	1017.4	534	71	0.92
	@	@	follow	84	19	0.95	-	48.7	102	71	0.96
	@	@	followed	202	19	0.97	+	208.0	153	71	0.97
	@	@	following	61	19	0.96	-	914.9	143	71	0.93
	@	@	follows	8	18	0.88	-	3403.0	137	71	0.70
	food	NoC	%	159	19	0.95	-	442.6	237	71	0.93
	@	@	food	156	19	0.95	-	217.3	209	71	0.94
	@	@	foods	2	16	0.83	-	651.5	28	70	0.81
	foot	NoC	%	482	19	0.97	+	5979.3	151	71	0.93
	@	@	feet	352	19	0.97	+	5309.6	94	70	0.93
	@	@	foot	130	19	0.96	+	925.4	57	71	0.92
	for	Conj	:	203	19	0.91	+	391.7	137	71	0.94
	for	Prep	:	6477	19	0.99	-	13744.0	9230	71	0.99
	for example	Adv	:	17	19	0.91	-	7977.3	315	71	0.94
	force	NoC	%	95	19	0.92	-	3333.8	316	71	0.90
	@	@	force	75	19	0.93	-	938.7	164	71	0.95
	@	@	forces	20	19	0.82	-	2906.1	152	71	0.84
	foreign	Adj	:	41	19	0.88	-	3252.4	212	71	0.83
	forget	Verb	%	285	19	0.97	+	4734.4	70	71	0.95
	@	@	forget	127	19	0.95	+	1783.0	36	71	0.94
	@	@	forgets	3	14	0.73	+	16.0	1	47	0.88
	@	@	forgetting	18	19	0.92	+	261.2	5	69	0.92
	@	@	forgot	41	19	0.95	+	1121.9	5	69	0.92
	@	@	forgotten	96	19	0.96	+	1711.7	22	71	0.95
	form	NoC	%	74	19	0.95	-	8139.0	468	71	0.95
	@	@	form	62	19	0.94	-	5385.2	338	71	0.95
	@	@	forms	12	19	0.92	-	2854.7	129	71	0.93
	form	Verb	%	63	19	0.95	-	2773.1	235	71	0.96
	@	@	form	18	19	0.92	-	1656.8	102	71	0.96
	@	@	formed	32	19	0.94	-	727.2	88	71	0.94
	@	@	forming	11	19	0.90	-	97.3	22	71	0.95
	@	@	forms	2	15	0.80	-	535.8	23	71	0.95
	former	DetP	:	25	19	0.91	-	4732.7	229	71	0.89
	forward	Adv	:	232	19	0.96	+	1397.4	110	71	0.95
	four	Num	%	233	19	0.95	-	1457.0	416	71	0.96
	@	@	four	230	19	0.95	-	1469.0	413	71	0.96
	@	@	fours	3	18	0.83	-	0.1	3	51	0.82
	free	Adj	%	157	19	0.96	-	334.5	224	71	0.96
	@	@	free	156	19	0.96	-	318.8	221	71	0.96
	@	@	freer	1	11	0.63	-	25.0	3	57	0.88
	@	@	freest	0	1	0.00	-	1.1	0	9	0.67
	friend	NoC	%	472	19	0.96	+	1358.1	290	71	0.83
	@	@	friend	250	19	0.96	+	767.9	150	71	0.69
	@	@	friends	222	19	0.96	+	592.5	139	71	0.94
	from	Prep	:	3452	19	0.98	-	4643.6	4595	71	0.99
	full	Adj	%	288	19	0.98	-	8.8	301	71	0.98
	@	@	full	285	19	0.98	-	1.7	291	71	0.98
	@	@	fuller	2	17	0.81	-	82.7	7	70	0.93
	@	@	fullest	1	11	0.78	-	43.5	3	63	0.90
	game	NoC	%	130	19	0.95	-	961.6	242	71	0.88
	@	@	game	96	19	0.94	-	567.7	169	71	0.88
	@	@	games	34	19	0.93	-	413.4	73	71	0.88
	garden	NoC	%	201	19	0.94	+	395.0	136	71	0.90
	@	@	garden	166	19	0.93	+	607.1	95	71	0.90
	@	@	gardens	35	19	0.93	-	10.8	40	71	0.89
	general	Adj	:	49	19	0.92	-	7489.7	386	71	0.95
	get	Verb	%	2945	19	0.96	+	32969.2	997	71	0.94
	@	@	get	1388	19	0.97	+	12732.0	533	71	0.95
	@	@	gets	77	19	0.95	+	61.9	60	70	0.93
	@	@	gettin'	5	14	0.69	+	170.3	0	11	0.67
	@	@	getting	283	19	0.96	+	1732.2	134	71	0.95
	@	@	got	1192	19	0.95	+	21494.1	269	71	0.92
	@	@	gotten	1	15	0.83	+	2.0	1	28	0.80
	girl	NoC	%	627	19	0.96	+	10202.4	157	71	0.92
	@	@	girl	470	19	0.95	+	11049.6	77	71	0.91
	@	@	girls	157	19	0.93	+	803.6	80	71	0.91
	give	Verb	%	1314	19	0.98	+	39.0	1256	71	0.98
	@	@	gave	465	19	0.96	+	4206.8	180	71	0.97
	@	@	give	465	19	0.97	+	194.5	390	71	0.97
	@	@	given	225	19	0.97	-	1894.5	436	71	0.97
	@	@	gives	36	19	0.93	-	1323.8	123	71	0.96
	@	@	giving	123	19	0.96	-	1.3	127	71	0.97
	glance	Verb	%	203	19	0.93	+	9827.4	4	61	0.90
	@	@	glance	14	19	0.87	+	480.6	1	50	0.90
	@	@	glanced	154	19	0.94	+	8058.4	2	44	0.84
	@	@	glances	3	16	0.76	+	78.3	0	22	0.81
	@	@	glancing	32	19	0.91	+	1431.6	1	38	0.84
	glass	NoC	%	323	19	0.95	+	5825.5	73	70	0.92
	@	@	glass	254	19	0.94	+	4302.6	61	70	0.92
	@	@	glasses	69	19	0.94	+	1571.8	12	69	0.91
	go	Verb	%	3499	19	0.97	+	41355.0	1141	71	0.95
	@	@	go	1404	19	0.97	+	16798.0	454	71	0.95
	@	@	goes	97	19	0.95	-	20.7	110	71	0.95
	@	@	goin'*	18	15	0.66	+	759.5	1	19	0.69
	@	@	going*	525	19	0.96	+	5129.8	194	71	0.94
	@	@	gone	435	19	0.98	+	7632.1	101	71	0.95
	@	@	went	1020	19	0.96	+	14909.6	281	71	0.95
	God	NoP	:	310	19	0.95	+	1558.8	159	71	0.84
	going	Verb	%	610	19	0.96	+	11910.4	127	71	0.94
	@	@	going* (to)	593	19	0.96	+	11559.2	123	71	0.94
	@	@	gon~	17	17	0.78	+	351.8	3	41	0.78
	good	Adj	%	1417	19	0.98	+	1045.2	1120	71	0.96
	@	@	best	234	19	0.96	-	130.6	282	71	0.96
	@	@	better	243	19	0.97	+	176.4	193	71	0.97
	@	@	good	940	19	0.98	+	1676.4	646	71	0.96
	government	NoC	%	51	19	0.86	-	22080.7	882	71	0.88
	@	@	government	48	19	0.87	-	20464.5	819	71	0.88
	@	@	governments	3	15	0.72	-	1616.4	63	71	0.91
	great	Adj	%	504	19	0.95	-	895.4	699	71	0.97
	@	@	great	447	19	0.95	-	1.1	453	71	0.96
	@	@	greater	30	19	0.92	-	3134.7	183	71	0.95
	@	@	greatest	27	19	0.90	-	387.2	63	71	0.96
	ground	NoC	%	212	19	0.95	-	27.9	233	71	0.96
	@	@	ground	186	19	0.95	+	76.2	156	71	0.95
	@	@	grounds	26	19	0.89	-	685.5	77	71	0.94
	group	NoC	%	115	19	0.96	-	13956.1	775	71	0.96
	@	@	group	94	19	0.95	-	8388.9	521	71	0.96
	@	@	groups	21	19	0.93	-	5784.3	254	71	0.94
	grow	Verb	%	241	19	0.97	+	180.9	190	71	0.95
	@	@	grew	84	19	0.95	+	494.8	41	71	0.95
	@	@	grow	49	19	0.96	-	17.8	58	71	0.93
	@	@	growing	45	19	0.94	+	44.3	34	71	0.95
	@	@	grown	55	19	0.94	+	48.5	42	71	0.94
	@	@	grows	7	19	0.89	-	83.3	15	70	0.92
	hair	NoC	%	453	19	0.97	+	10401.9	77	71	0.81
	@	@	hair	441	19	0.97	+	10347.1	72	71	0.81
	@	@	hairs	12	19	0.91	+	128.1	4	53	0.78
	half	DetP	:	236	19	0.97	+	344.0	168	71	0.96
	hand	NoC	%	1397	19	0.97	+	23368.9	340	71	0.97
	@	@	hand	857	19	0.97	+	12980.5	229	71	0.97
	@	@	hands	540	19	0.97	+	10581.1	111	71	0.95
	hang	Verb	%	221	19	0.96	+	3796.2	52	71	0.93
	@	@	hang	47	19	0.93	+	517.4	16	71	0.93
	@	@	hanged	8	19	0.80	+	34.1	4	62	0.85
	@	@	hanging	59	19	0.95	+	1010.6	14	69	0.92
	@	@	hangs	6	19	0.84	+	4.3	5	64	0.91
	@	@	hung	102	19	0.95	+	2724.0	14	70	0.92
	happen	Verb	%	534	19	0.98	+	3829.3	234	71	0.95
	@	@	happen	127	19	0.97	+	585.4	67	71	0.95
	@	@	happened	296	19	0.97	+	3811.5	90	71	0.94
	@	@	happening	60	19	0.94	+	364.2	28	71	0.94
	@	@	happens	51	19	0.95	+	2.8	48	71	0.95
	happy	Adj	%	215	19	0.96	+	1409.4	99	71	0.94
	@	@	happier	18	19	0.92	+	159.7	7	69	0.93
	@	@	happiest	4	18	0.89	+	10.6	3	57	0.90
