	Word	PoS		FrSp	Ra	DiSp		LogLi	FrWr	Ra	DiWr
	cut	Verb	%	207	10	0.90	+	29.9	182	90	0.96
	@	@	cut	165	10	0.89	+	33.1	142	90	0.96
	@	@	cuts	10	10	0.88	-	4.0	12	90	0.92
	@	@	cutting	32	10	0.88	+	4.6	28	90	0.95
	D / d	Lett	:	191	10	0.83	+	1631.9	59	90	0.90
	dad	NoC	%	270	10	0.67	+	3857.6	52	87	0.81
	@	@	dad	268	10	0.66	+	3870.9	51	86	0.81
	@	@	dads	2	10	0.72	+	6.2	1	39	0.81
	data/datum*	NoC	%	51	9	0.55	-	1501.3	198	88	0.86
	@	@	data	51	9	0.55	-	1494.2	197	88	0.86
	@	@	datum	0	0	0.00	-	12.9	1	31	0.81
	date	NoC	%	96	10	0.86	-	503.7	187	90	0.76
	@	@	date	80	10	0.85	-	541.7	167	90	0.74
	@	@	dates	17	10	0.85	-	3.5	19	90	0.93
	day	NoC	%	1064	10	0.94	+	181.8	926	90	0.97
	@	@	day	746	10	0.93	+	330.4	594	90	0.97
	@	@	days	318	10	0.89	-	5.2	332	90	0.97
	deal	Verb	%	170	10	0.77	+	0.4	167	90	0.94
	@	@	deal	80	10	0.77	+	30.4	65	90	0.94
	@	@	dealing	50	10	0.76	-	1.6	53	90	0.93
	@	@	deals	10	10	0.68	-	9.4	13	87	0.91
	@	@	dealt	29	10	0.76	-	10.5	36	90	0.93
	death	NoC	%	64	10	0.86	-	1891.8	249	90	0.96
	@	@	death	57	10	0.87	-	1685.2	222	90	0.96
	@	@	deaths	7	9	0.54	-	206.6	27	90	0.90
	decide	Verb	%	169	10	0.89	-	301.4	254	90	0.98
	@	@	decide	69	10	0.83	+	0.5	67	90	0.96
	@	@	decided	89	10	0.92	-	338.9	158	90	0.97
	@	@	decides	6	10	0.91	-	13.1	9	90	0.94
	@	@	deciding	6	10	0.71	-	132.1	20	90	0.94
	decision	NoC	%	134	10	0.73	-	664.6	256	90	0.92
	@	@	decision	97	10	0.73	-	402.2	176	90	0.91
	@	@	decisions	37	10	0.73	-	270.0	80	90	0.92
	department	NoC	%	108	10	0.75	-	789.6	232	90	0.86
	@	@	department	91	10	0.75	-	573.9	187	90	0.84
	@	@	departments	17	9	0.73	-	227.1	45	88	0.89
	describe	Verb	%	64	10	0.77	-	1980.6	256	90	0.94
	@	@	describe	25	10	0.79	-	104.6	45	90	0.94
	@	@	described	26	10	0.77	-	1725.5	162	90	0.93
	@	@	describes	5	8	0.63	-	278.4	29	84	0.93
	@	@	describing	9	8	0.70	-	81.0	20	90	0.94
	despite	Prep	:	22	10	0.71	-	1846.0	160	90	0.96
	detail	NoC	%	89	10	0.77	-	621.2	189	90	0.94
	@	@	detail	45	10	0.72	-	53.1	63	90	0.94
	@	@	details	44	10	0.82	-	676.3	126	90	0.93
	develop	Verb	%	80	10	0.74	-	1573.8	255	90	0.93
	@	@	develop	37	10	0.72	-	407.2	92	90	0.93
	@	@	developed	26	10	0.78	-	1013.2	119	90	0.93
	@	@	developing	15	9	0.72	-	126.4	33	90	0.92
	@	@	develops	2	7	0.66	-	104.2	11	79	0.92
	development	NoC	%	155	10	0.63	-	1873.4	401	90	0.92
	@	@	development	142	9	0.62	-	1471.4	345	90	0.91
	@	@	developments	13	9	0.62	-	441.2	56	90	0.92
	die	Verb	%	140	10	0.92	-	384.7	230	90	0.93
	@	@	die	41	10	0.94	-	34.6	55	90	0.93
	@	@	died	79	10	0.89	-	350.7	147	90	0.90
	@	@	dies	6	10	0.84	-	22.9	11	88	0.92
	@	@	dying	13	10	0.79	-	10.2	17	90	0.93
	difference	NoC	%	157	10	0.89	-	75.7	195	90	0.93
	@	@	difference	136	10	0.91	+	52.0	111	90	0.94
	@	@	differences	20	9	0.70	-	676.5	85	90	0.90
	different	Adj	:	500	10	0.91	+	6.8	482	90	0.95
	difficult	Adj	:	202	10	0.84	-	17.4	222	90	0.96
	director	NoC	%	57	10	0.66	-	1072.7	178	90	0.92
	@	@	director	41	10	0.64	-	813.6	131	90	0.92
	@	@	directors	16	10	0.61	-	260.0	47	88	0.89
	do	Verb	%	16621	10	0.90	+	175115.8	4318	90	0.94
	@	@	d'	70	9	0.60	+	1249.3	10	50	0.78
	@	@	did	3368	10	0.87	+	22872.6	1210	90	0.92
	@	@	do	9594	10	0.90	+	126017.2	2016	90	0.94
	@	@	does	1549	10	0.94	+	9615.6	587	90	0.96
	@	@	doing	943	10	0.94	+	12144.6	202	90	0.96
	@	@	done	931	10	0.95	+	7898.7	288	90	0.97
	@	@	doth	0	1	0.00	-	14.6	1	52	0.87
	@	@	du~*	165	10	0.67	+	6150.0	3	33	0.56
	dog	NoC	%	166	10	0.76	+	151.5	119	90	0.88
	@	@	dog	128	10	0.75	+	282.6	75	90	0.87
	@	@	dogs	38	10	0.81	-	8.3	44	89	0.89
	door	NoC	%	296	10	0.83	-	1.4	302	90	0.87
	@	@	door	255	10	0.81	+	0.1	253	90	0.86
	@	@	doors	41	10	0.89	-	13.5	49	90	0.92
	down	Adv	:	1472	10	0.90	+	4515.8	772	90	0.93
	down	Prep	:	170	10	0.90	+	518.2	90	90	0.91
	draw	Verb	%	136	10	0.87	-	459.6	234	90	0.98
	@	@	draw	76	10	0.86	+	44.6	58	90	0.96
	@	@	drawing	18	10	0.90	-	76.9	33	90	0.96
	@	@	drawn	28	10	0.81	-	450.1	81	90	0.97
	@	@	draws	4	10	0.79	-	68.3	12	86	0.93
	@	@	drew	10	10	0.85	-	457.8	50	90	0.90
	during	Prep	:	152	10	0.81	-	2833.1	473	90	0.95
	E / e	Lett	:	273	10	0.86	+	4380.7	46	90	0.90
	each	DetP	:	243	10	0.89	-	1947.3	539	90	0.95
	early	Adj	%	135	10	0.88	-	1973.9	378	90	0.95
	@	@	earlier	27	10	0.80	-	403.5	75	90	0.94
	@	@	earliest	6	10	0.83	-	130.8	20	89	0.92
	@	@	early	103	10	0.90	-	1442.5	283	90	0.95
	easy	Adj	%	214	10	0.95	+	15.2	196	90	0.96
	@	@	easier	65	10	0.93	+	69.3	45	90	0.96
	@	@	easiest	13	10	0.85	+	29.6	7	88	0.93
	@	@	easy	137	10	0.94	-	3.1	144	90	0.96
	eat	Verb	%	254	10	0.71	+	805.6	131	90	0.92
	@	@	ate	15	9	0.68	-	4.7	18	88	0.88
	@	@	eat	170	10	0.70	+	1053.6	65	90	0.92
	@	@	eaten	18	9	0.72	+	1.0	17	87	0.92
	@	@	eating	41	10	0.74	+	42.7	29	88	0.92
	@	@	eats	9	10	0.67	+	61.1	3	79	0.91
	economic	Adj	:	53	10	0.65	-	2315.7	257	89	0.88
	education	NoC	%	116	10	0.70	-	1146.8	277	90	0.90
	@	@	education	115	10	0.70	-	1148.6	277	90	0.90
	@	@	educations	0	1	0.00	+	0.2	0	10	0.68
	effect	NoC	%	120	10	0.73	-	2070.4	361	90	0.93
	@	@	effect	87	10	0.73	-	1282.0	244	90	0.93
	@	@	effects	33	10	0.73	-	801.8	116	90	0.92
	eh	Int	:	211	10	0.66	+	5626.6	14	67	0.82
	eight	Num	%	611	10	0.94	+	8328.0	123	90	0.94
	@	@	eight	606	10	0.94	+	8237.0	123	90	0.94
	@	@	eights	5	7	0.61	+	101.1	0	24	0.75
	eighty	Num	%	309	10	0.75	+	9068.8	16	88	0.87
	@	@	eighties	13	10	0.72	+	25.2	8	77	0.84
	@	@	eighty	296	10	0.75	+	10313.7	8	87	0.81
	either	Adv	:	198	10	0.96	-	26.4	222	90	0.96
	election	NoC	%	66	10	0.75	-	766.6	168	90	0.78
	@	@	election	40	10	0.80	-	499.5	104	90	0.83
	@	@	elections	26	8	0.65	-	267.9	63	84	0.66
	else	Adv	:	475	10	0.95	+	2990.5	178	90	0.93
	end	NoC	%	471	10	0.95	+	4.4	457	90	0.98
	@	@	end	455	10	0.95	+	18.5	426	90	0.98
	@	@	ends	16	10	0.86	-	80.9	31	90	0.94
	end	Verb	%	100	10	0.93	-	280.6	164	90	0.88
	@	@	end	61	10	0.94	+	6.2	55	90	0.96
	@	@	ended	23	10	0.88	-	522.6	78	90	0.75
	@	@	ending	6	9	0.77	-	80.3	15	90	0.93
	@	@	ends	10	10	0.86	-	20.9	16	90	0.94
	England	NoP	%	56	10	0.84	-	2136.5	252	90	0.93
	@	@	England	56	10	0.84	-	2135.2	252	90	0.93
	English	Adj	:	52	10	0.85	-	969.5	161	90	0.94
	enough	Adv	:	241	10	0.93	-	0.5	244	90	0.95
	er	Uncl	:	8542	10	0.85	+	390869.9	11	68	0.83
	erm	Uncl	:	6029	10	0.90	+	281015.6	2	35	0.72
	especially	Adv	:	89	10	0.95	-	607.9	187	90	0.96
	establish	Verb	%	39	9	0.69	-	1752.6	192	90	0.93
	@	@	establish	14	8	0.66	-	438.6	57	90	0.93
	@	@	established	20	9	0.71	-	1062.1	108	90	0.93
	@	@	establishes	0	3	0.45	-	48.0	4	70	0.89
	@	@	establishing	4	5	0.64	-	215.4	22	88	0.92
	Europe	NoP	%	62	10	0.74	-	1189.9	195	90	0.91
	@	@	Europe	62	10	0.74	-	1188.4	195	90	0.91
	European	Adj	:	69	10	0.68	-	1218.3	210	90	0.90
	even	Adv	:	457	10	0.96	-	1226.0	746	90	0.97
	event	NoC	%	53	10	0.75	-	1850.0	226	90	0.94
	@	@	event	30	10	0.75	-	813.3	112	90	0.93
	@	@	events	23	10	0.74	-	1048.3	114	90	0.95
	ever	Adv	:	275	10	0.94	+	12.0	257	90	0.95
	every	Det	:	456	10	0.96	+	85.4	395	90	0.97
	everybody	Pron	:	267	10	0.95	+	4882.7	37	89	0.93
	everything	Pron	:	359	10	0.93	+	1493.2	167	90	0.93
	evidence	NoC	%	82	10	0.68	-	1221.5	231	90	0.93
	@	@	evidence	82	10	0.68	-	1218.2	230	90	0.93
	@	@	evidences	0	1	0.00	-	3.6	0	20	0.72
	exactly	Adv	:	201	10	0.93	+	782.9	96	90	0.95
	example	NoC	%	101	10	0.76	-	637.1	207	90	0.92
	@	@	example	76	10	0.77	-	259.4	131	90	0.92
	@	@	examples	25	9	0.72	-	440.8	76	88	0.91
	expect	Verb	%	179	10	0.90	-	542.8	300	90	0.96
	@	@	expect	119	10	0.90	+	17.2	104	90	0.96
	@	@	expected	35	10	0.81	-	1366.9	159	90	0.95
	@	@	expecting	22	10	0.89	+	0.2	21	90	0.92
	@	@	expects	3	8	0.75	-	135.8	15	87	0.78
	experience	NoC	%	116	10	0.81	-	707.8	235	90	0.94
	@	@	experience	103	10	0.82	-	532.5	198	90	0.94
	@	@	experiences	13	9	0.73	-	192.2	37	90	0.92
	explain	Verb	%	109	10	0.84	-	492.9	202	90	0.97
	@	@	explain	67	10	0.83	-	23.6	81	90	0.96
	@	@	explained	25	10	0.85	-	451.7	76	90	0.96
	@	@	explaining	10	9	0.81	-	56.2	19	90	0.96
	@	@	explains	8	9	0.70	-	176.0	27	88	0.94
	eye	NoC	%	116	10	0.91	-	3006.1	423	90	0.87
	@	@	eye	53	10	0.94	-	247.1	100	90	0.94
	@	@	eyes	63	10	0.86	-	3032.6	324	90	0.84
	face	NoC	%	114	10	0.89	-	1931.1	339	90	0.88
	@	@	face	103	10	0.88	-	1704.3	303	90	0.87
	@	@	faces	11	10	0.88	-	228.1	35	90	0.91
	face	Verb	%	76	10	0.81	-	673.6	174	90	0.96
	@	@	face	37	10	0.85	-	184.8	71	90	0.95
	@	@	faced	16	10	0.76	-	286.2	49	90	0.97
	@	@	faces	3	10	0.74	-	131.2	15	88	0.88
	@	@	facing	20	10	0.77	-	120.0	40	90	0.96
	fact	NoC	%	513	10	0.81	+	191.4	416	90	0.96
	@	@	fact	492	10	0.81	+	396.0	360	90	0.96
	@	@	facts	21	9	0.73	-	276.9	56	90	0.91
	factor	NoC	%	59	10	0.72	-	808.8	160	90	0.91
	@	@	factor	26	9	0.73	-	303.3	67	90	0.90
	@	@	factors	32	8	0.70	-	507.8	93	86	0.91
	fail	Verb	%	44	10	0.85	-	1333.2	175	90	0.96
	@	@	fail	12	10	0.84	-	190.5	35	90	0.95
	@	@	failed	23	10	0.82	-	774.2	96	90	0.95
	@	@	failing	7	10	0.83	-	156.2	23	90	0.95
	@	@	fails	3	6	0.64	-	240.9	20	90	0.93
	fall	Verb	%	146	10	0.94	-	807.5	288	90	0.96
	@	@	fall	48	10	0.94	-	85.8	73	90	0.97
	@	@	fallen	18	10	0.89	-	127.4	38	90	0.95
	@	@	falling	26	10	0.91	-	102.9	46	90	0.96
	@	@	falls	12	10	0.88	-	61.4	23	90	0.94
	@	@	fell	42	10	0.86	-	503.8	108	90	0.94
	family	NoC	%	213	10	0.88	-	1499.9	453	90	0.95
	@	@	families	43	10	0.77	-	273.5	88	90	0.93
	@	@	family	171	10	0.89	-	1226.6	365	90	0.95
	far	Adj	%	176	10	0.85	-	578.8	301	90	0.96
	@	@	far	111	10	0.91	+	263.0	63	90	0.95
	@	@	farther	0	3	0.49	-	8.7	1	47	0.86
	@	@	farthest	0	2	0.33	-	4.7	1	37	0.84
	@	@	further*	63	10	0.68	-	1698.4	234	90	0.94
	@	@	furthest	2	8	0.72	-	0.0	2	62	0.90
	far	Adv	%	229	10	0.88	-	269.7	320	90	0.98
	father	NoC	%	151	10	0.79	-	541.2	263	90	0.91
	@	@	father	142	10	0.79	-	524.6	251	90	0.91
	@	@	fathers	8	9	0.68	-	17.6	13	89	0.91
	feel	Verb	%	539	10	0.95	-	141.3	634	90	0.92
	@	@	feel	364	10	0.94	+	476.2	243	90	0.94
	@	@	feeling	38	10	0.90	-	87.4	60	90	0.89
	@	@	feels	30	10	0.93	-	2.3	33	90	0.94
	@	@	felt	106	10	0.95	-	1567.3	298	90	0.90
	few	DetP	:	346	10	0.93	-	303.2	462	90	0.97
	field	NoC	%	82	10	0.85	-	1012.8	214	90	0.93
	@	@	field	58	10	0.84	-	731.4	153	90	0.93
	@	@	fields	24	10	0.79	-	281.5	62	90	0.93
	fifteen	Num	%	208	10	0.93	+	3237.8	36	90	0.93
	@	@	fifteen	207	10	0.93	+	3222.3	36	90	0.93
	fifty	Num	%	535	10	0.82	+	13056.1	45	90	0.90
	@	@	fifties	17	10	0.85	+	48.8	9	85	0.85
	@	@	fifty	519	10	0.81	+	13755.2	36	90	0.88
	figure	NoC	%	203	10	0.65	-	279.8	291	90	0.94
	@	@	figure	97	10	0.63	-	424.4	178	90	0.93
	@	@	figures	106	10	0.67	-	3.4	112	90	0.94
	financial	Adj	:	78	10	0.72	-	641.1	175	90	0.92
	find	Verb	%	785	10	0.94	-	527.0	1014	90	0.98
	@	@	find	529	10	0.94	+	305.8	408	90	0.97
	@	@	finding	34	10	0.86	-	97.4	57	90	0.97
	@	@	finds	12	10	0.85	-	149.6	31	90	0.94
	@	@	found	209	10	0.94	-	2282.3	519	90	0.97
	fine	Adj	%	191	10	0.94	+	122.6	145	90	0.95
	@	@	fine	187	10	0.94	+	293.0	120	90	0.95
	@	@	finer	1	6	0.62	-	51.6	6	86	0.92
	@	@	finest	3	10	0.72	-	211.6	19	88	0.92
	finish	Verb	%	250	10	0.89	+	1288.4	105	90	0.94
	@	@	finish	80	10	0.90	+	738.1	23	90	0.94
	@	@	finished	155	10	0.88	+	680.2	70	90	0.93
	@	@	finishes	7	10	0.79	+	44.2	2	74	0.90
	@	@	finishing	8	10	0.91	-	0.6	9	86	0.92
	firm	NoC	%	58	10	0.84	-	1010.3	175	90	0.88
	@	@	firm	35	10	0.83	-	458.1	94	90	0.86
	@	@	firms	23	10	0.79	-	564.2	81	88	0.87
	first	Ord	:	957	10	0.93	-	572.0	1220	90	0.98
	five	Num	%	1318	10	0.94	+	15799.2	304	90	0.96
	@	@	five	1308	10	0.93	+	15609.6	303	90	0.95
	@	@	fives	10	9	0.77	+	221.2	1	37	0.75
	follow	Verb	%	134	10	0.82	-	3610.8	497	90	0.93
	@	@	follow	58	10	0.85	-	181.8	98	90	0.97
	@	@	followed	28	10	0.79	-	1658.2	163	90	0.97
	@	@	following	32	10	0.78	-	974.3	126	90	0.93
	@	@	follows	16	10	0.71	-	1223.3	110	89	0.70
	food	NoC	%	122	10	0.88	-	506.2	221	90	0.94
	@	@	food	117	10	0.88	-	374.8	198	90	0.94
	@	@	foods	5	10	0.78	-	191.8	23	86	0.81
	foot	NoC	%	169	10	0.89	-	117.4	219	90	0.92
	@	@	feet	85	10	0.89	-	297.5	147	89	0.92
	@	@	foot	84	10	0.86	+	18.7	72	90	0.93
	for	Prep	:	6239	10	0.96	-	7070.6	8664	90	0.98
	for example	Adv	:	107	10	0.74	-	1037.0	254	90	0.92
	force	NoC	%	74	10	0.71	-	1923.7	270	90	0.90
	@	@	force	48	10	0.73	-	855.2	146	90	0.94
	@	@	forces	26	9	0.65	-	1102.6	124	90	0.84
	foreign	Adj	:	27	10	0.70	-	1909.8	177	90	0.83
	forget	Verb	%	212	10	0.90	+	598.8	114	90	0.92
	@	@	forget	117	10	0.93	+	471.4	55	90	0.92
	@	@	forgets	2	6	0.50	+	0.0	2	61	0.87
	@	@	forgetting	8	10	0.87	+	0.3	8	88	0.91
	@	@	forgot	43	10	0.77	+	393.2	13	88	0.87
	@	@	forgotten	42	10	0.90	+	4.5	37	90	0.91
	form	NoC	%	173	10	0.80	-	1413.7	387	90	0.93
	@	@	form	133	10	0.83	-	921.3	282	90	0.94
	@	@	forms	40	10	0.72	-	508.2	105	90	0.91
	form	Verb	%	50	10	0.76	-	1558.9	200	90	0.95
	@	@	form	25	10	0.76	-	562.0	85	90	0.94
	@	@	formed	15	10	0.75	-	704.0	77	90	0.94
	@	@	forming	4	8	0.73	-	177.4	19	90	0.95
	@	@	forms	5	9	0.66	-	132.2	19	86	0.93
	former	DetP	:	21	10	0.68	-	2312.2	187	90	0.89
	forty	Num	%	396	10	0.92	+	9560.1	34	89	0.90
	@	@	forties	8	10	0.84	+	20.9	5	77	0.90
	@	@	forty	388	10	0.92	+	9928.3	29	89	0.89
	four	Num	%	1210	10	0.95	+	10078.9	379	90	0.96
	@	@	four	1199	10	0.95	+	9982.0	376	90	0.96
	@	@	fours	11	10	0.80	+	97.2	3	69	0.85
	free	Adj	%	114	10	0.91	-	505.1	210	90	0.97
	@	@	free	113	10	0.91	-	489.9	208	90	0.97
	@	@	freer	1	3	0.40	-	18.4	3	68	0.88
	@	@	freest	0	0	0.00	-	2.4	0	10	0.69
	friend	NoC	%	206	10	0.88	-	484.0	327	90	0.88
	@	@	friend	102	10	0.81	-	303.8	171	90	0.78
	@	@	friends	104	10	0.91	-	185.9	156	90	0.95
	from	Prep	:	2178	10	0.89	-	12708.7	4360	90	0.98
	full	Adj	%	209	10	0.94	-	281.7	298	90	0.98
	@	@	full	206	10	0.94	-	250.2	290	90	0.98
	@	@	fuller	2	7	0.68	-	34.6	6	87	0.93
	@	@	fullest	0	3	0.39	-	25.9	3	74	0.90
	funny	Adj	%	164	10	0.72	+	2221.8	33	88	0.90
	@	@	funnier	1	5	0.55	+	1.2	1	26	0.79
	@	@	funniest	2	7	0.61	+	1.4	1	48	0.83
	@	@	funny	161	10	0.72	+	2265.6	31	88	0.90
	future	NoC	%	100	10	0.75	-	260.4	162	90	0.94
	@	@	future	99	10	0.75	-	165.3	147	90	0.96
	@	@	futures	1	4	0.43	-	218.7	16	81	0.55
	G / g	Lett	:	188	10	0.75	+	3621.7	24	88	0.86
	game	NoC	%	151	10	0.80	-	223.0	219	90	0.90
	@	@	game	112	10	0.79	-	122.3	154	90	0.90
	@	@	games	40	10	0.78	-	109.3	65	90	0.89
	general	Adj	:	162	10	0.77	-	882.1	317	90	0.93
	get	Verb	%	9230	10	0.88	+	158951.3	1398	90	0.93
	@	@	get	3464	10	0.89	+	46650.2	709	90	0.94
	@	@	gets	204	10	0.87	+	1718.5	63	89	0.95
	@	@	gettin'	0	0	0.00	-	23.4	1	25	0.70
	@	@	getting	539	10	0.94	+	4647.3	165	90	0.95
	@	@	got	5021	10	0.86	+	117168.1	459	90	0.91
	@	@	gotten	2	9	0.83	+	6.4	1	43	0.85
	girl	NoC	%	253	10	0.80	-	0.0	254	90	0.91
	@	@	girl	156	10	0.75	-	0.1	158	90	0.89
	@	@	girls	97	10	0.86	+	0.0	96	90	0.93
	give	Verb	%	1428	10	0.97	+	179.7	1268	90	0.98
	@	@	gave	148	10	0.94	-	381.5	239	90	0.95
	@	@	give	845	10	0.95	+	3270.5	405	90	0.97
	@	@	given	224	10	0.85	-	806.4	392	90	0.97
	@	@	gives	97	10	0.89	-	5.4	105	90	0.95
	@	@	giveth	0	0	0.00	-	2.4	0	10	0.69
	@	@	giving	113	10	0.92	-	13.3	126	90	0.98
	go	Verb	%	5986	10	0.87	+	59897.2	1625	90	0.93
	@	@	go	2885	10	0.87	+	35449.6	649	90	0.93
	@	@	goes	503	10	0.80	+	6537.7	107	90	0.96
	@	@	goin'*	0	0	0.00	-	82.3	4	34	0.67
	@	@	going*	1263	10	0.87	+	16769.6	262	90	0.94
	@	@	gone	418	10	0.86	+	2299.8	170	90	0.91
	@	@	went	917	10	0.85	+	3675.1	433	90	0.92
	God	NoP	:	305	10	0.86	+	536.0	190	90	0.89
	going* (to)	Verb	%	2065	10	0.93	+	43787.8	226	90	0.90
	@	@	going (to)	911	10	0.90	+	10420.9	220	90	0.90
	@	@	gon~	1154	10	0.81	+	49873.1	6	58	0.82
	good	Adj	%	2091	10	0.95	+	5164.0	1181	90	0.97
	@	@	best	217	10	0.94	-	113.2	272	90	0.96
	@	@	better	308	10	0.96	+	428.3	203	90	0.97
	@	@	good	1566	10	0.93	+	6955.6	706	90	0.97
	government	NoC	%	312	10	0.70	-	2707.2	711	90	0.87
	@	@	government	295	10	0.70	-	2425.5	660	90	0.87
	@	@	governments	17	9	0.67	-	298.0	51	86	0.89
	great	Adj	%	430	10	0.88	-	856.1	659	90	0.97
	@	@	great	363	10	0.89	-	172.6	452	90	0.97
	@	@	greater	50	10	0.73	-	878.0	152	90	0.94
	@	@	greatest	16	10	0.76	-	374.9	55	90	0.95
	ground	NoC	%	99	10	0.85	-	889.9	229	90	0.96
	@	@	ground	80	10	0.86	-	484.9	163	90	0.96
	@	@	grounds	19	10	0.77	-	457.7	66	90	0.93
	group	NoC	%	334	10	0.79	-	1670.1	639	90	0.94
	@	@	group	249	10	0.79	-	871.1	433	90	0.94
	@	@	groups	85	10	0.79	-	871.9	206	90	0.93
	grow	Verb	%	110	10	0.90	-	462.1	201	90	0.96
	@	@	grew	12	10	0.80	-	398.4	50	90	0.95
	@	@	grow	44	10	0.90	-	25.0	56	90	0.94
	@	@	growing	24	10	0.88	-	43.1	36	90	0.96
	@	@	grown	24	10	0.83	-	115.5	45	90	0.95
	@	@	grows	6	10	0.83	-	49.9	14	89	0.93
	ha	Int	:	220	10	0.66	+	7090.3	8	77	0.86
	half	DetP	:	440	10	0.90	+	2322.1	182	90	0.97
	hand	NoC	%	315	10	0.96	-	1191.0	558	90	0.92
	@	@	hand	221	10	0.95	-	576.7	358	90	0.92
	@	@	hands	94	10	0.93	-	663.1	199	90	0.91
	happen	Verb	%	577	10	0.90	+	1889.6	296	90	0.95
	@	@	happen	156	10	0.84	+	515.9	80	90	0.95
	@	@	happened	195	10	0.95	+	237.6	132	90	0.93
	@	@	happening	86	10	0.86	+	482.7	35	90	0.94
	@	@	happens	140	10	0.88	+	984.6	49	90	0.96
	happy	Adj	%	187	10	0.92	+	261.7	123	90	0.94
	@	@	happier	9	10	0.86	+	0.1	9	88	0.93
	@	@	happiest	1	6	0.70	-	12.9	3	75	0.92
	@	@	happy	176	10	0.92	+	298.9	110	90	0.94
	hard	Adj	%	173	10	0.93	-	0.9	177	90	0.96
	@	@	hard	153	10	0.92	-	1.3	158	90	0.96
	@	@	harder	15	10	0.90	+	0.0	14	90	0.93
	@	@	hardest	5	9	0.83	+	0.3	4	81	0.93
	have*	Verb	%	19689	10	0.97	+	27565.0	12957	90	0.98
	@	@	'ave	0	2	0.24	-	18.3	2	17	0.60
	@	@	'd	575	10	0.89	+	2061.4	284	89	0.84
	@	@	's	1844	10	0.88	+	50198.4	119	88	0.86
	@	@	've	4735	10	0.95	+	108766.4	446	90	0.89
	@	@	had	2835	10	0.94	-	7697.6	4639	90	0.94
	@	@	has	1598	10	0.88	-	5051.0	2708	90	0.95
	@	@	have	7488	10	0.97	+	16057.1	4416	90	0.98
	@	@	having	452	10	0.96	+	299.2	341	90	0.98
	@	@	of*	162	10	0.67	+	7351.6	0	18	0.67
	he	Pron	%	8628	10	0.84	+	34.6	8450	90	0.92
	@	@	'e	0	1	0.00	-	111.3	7	26	0.52
	@	@	'im	3	2	0.07	-	1.4	3	21	0.61
	@	@	he	7277	10	0.84	+	364.2	6756	90	0.92
	@	@	him	1348	10	0.84	-	676.1	1684	90	0.90
	head	NoC	%	188	10	0.92	-	1613.1	427	90	0.92
	@	@	head	164	10	0.91	-	1401.9	372	90	0.91
	@	@	heads	24	10	0.91	-	211.3	55	90	0.95
	health	NoC	%	154	10	0.74	-	452.4	257	90	0.91
	@	@	health	154	10	0.74	-	452.1	257	90	0.91
	hear	Verb	%	504	10	0.92	+	536.9	351	90	0.92
	@	@	hear	254	10	0.89	+	935.1	124	90	0.91
	@	@	heard	232	10	0.93	+	48.7	199	90	0.91
	@	@	hearing	16	10	0.82	-	28.2	24	90	0.94
	@	@	hears	3	9	0.76	-	9.5	5	85	0.93
	heart	NoC	%	63	10	0.89	-	755.6	163	90	0.93
	@	@	heart	56	10	0.89	-	695.3	147	90	0.93
	@	@	hearts	7	10	0.85	-	61.3	16	88	0.92
	hello	Int	:	220	10	0.76	+	5546.5	17	81	0.86
	help	Verb	%	332	10	0.93	-	207.4	426	90	0.97
	@	@	help	239	10	0.93	-	50.0	276	90	0.97
	@	@	helped	34	10	0.85	-	333.3	81	90	0.96
	@	@	helping	31	10	0.90	-	19.1	40	90	0.95
	@	@	helps	28	10	0.88	-	0.0	28	89	0.94
	her*	Det	:	644	10	0.82	-	16899.4	2362	90	0.87
	here	Adv	:	1640	10	0.93	+	11087.8	590	90	0.93
	herself	Pron	:	38	10	0.86	-	1723.7	187	90	0.84
	high	Adj	%	268	10	0.87	-	2297.6	609	90	0.96
	@	@	high	185	10	0.89	-	1298.3	392	90	0.97
	@	@	higher	66	10	0.80	-	755.3	167	90	0.93
	@	@	highest	18	10	0.85	-	268.8	51	90	0.95
	himself	Pron	:	87	10	0.87	-	2542.2	337	90	0.93
	his	Det	%	1333	10	0.92	-	31356.3	4628	90	0.94
	@	@	'is	0	1	0.00	-	29.9	2	19	0.60
	@	@	his	1333	10	0.92	-	31332.3	4627	90	0.94
	history	NoC	%	70	10	0.65	-	1273.5	216	90	0.92
	@	@	histories	1	3	0.43	-	124.1	9	79	0.87
	@	@	history	70	10	0.66	-	1176.2	207	90	0.92
	hold	Verb	%	207	10	0.96	-	2248.5	512	90	0.96
	@	@	held	56	10	0.80	-	2920.4	302	90	0.94
	@	@	hold	110	10	0.90	+	1.6	106	90	0.97
	@	@	holding	31	10	0.91	-	328.8	77	90	0.94
	@	@	holds	9	10	0.92	-	168.9	28	90	0.95
	home	Adv	:	265	10	0.82	+	275.9	185	90	0.93
	home	NoC	%	286	10	0.90	-	349.3	402	90	0.94
	@	@	home	237	10	0.92	-	331.2	340	90	0.95
	@	@	homes	49	10	0.70	-	25.3	62	90	0.91
	hope	Verb	%	259	10	0.92	+	79.7	215	90	0.94
	@	@	hope	206	10	0.92	+	698.3	104	90	0.92
	@	@	hoped	10	10	0.76	-	561.6	56	90	0.95
	@	@	hopes	4	9	0.74	-	178.0	20	86	0.85
	@	@	hoping	39	10	0.90	+	4.3	35	89	0.91
	hospital	NoC	%	115	10	0.88	-	305.7	188	90	0.90
	@	@	hospital	97	10	0.89	-	254.3	157	90	0.90
