	Word	PoS		FrSp	Ra	DiSp		LogLi	FrWr	Ra	DiWr
	@	@	amounts	11	10	0.76	-	102.9	26	90	0.92
	an	Det	:	1846	10	0.89	-	10000.3	3613	90	0.98
	and	Conj	:	25210	10	0.96	-	1134.5	27002	90	0.99
	animal	NoC	%	66	10	0.79	-	710.3	163	90	0.90
	@	@	animal	26	10	0.78	-	374.3	72	90	0.91
	@	@	animals	40	10	0.78	-	342.5	91	90	0.89
	another	DetP	:	640	10	0.97	+	66.3	575	90	0.98
	any	DetP	:	1484	10	0.94	+	624.8	1189	90	0.96
	anybody	Pron	:	249	10	0.93	+	5359.7	26	90	0.93
	anything	Pron	:	633	10	0.94	+	3716.7	248	90	0.92
	anyway	Adv	:	503	10	0.84	+	8512.4	78	90	0.89
	appear	Verb	%	75	10	0.79	-	2823.0	333	90	0.97
	@	@	appear	31	10	0.80	-	881.1	118	90	0.96
	@	@	appeared	16	10	0.77	-	1328.4	117	90	0.96
	@	@	appearing	6	9	0.71	-	73.1	15	90	0.95
	@	@	appears	22	10	0.76	-	611.5	83	90	0.94
	application	NoC	%	87	10	0.68	-	489.4	172	90	0.84
	@	@	application	59	10	0.70	-	226.0	105	90	0.88
	@	@	applications	27	8	0.62	-	281.7	67	83	0.76
	apply	Verb	%	89	10	0.80	-	793.6	205	90	0.91
	@	@	applied	20	10	0.84	-	493.5	72	90	0.93
	@	@	applies	13	10	0.77	-	107.1	30	87	0.86
	@	@	apply	46	10	0.77	-	188.0	83	90	0.90
	@	@	applying	10	10	0.77	-	72.7	21	90	0.93
	approach	NoC	%	53	10	0.71	-	1266.4	185	90	0.92
	@	@	approach	48	10	0.71	-	994.8	156	90	0.93
	@	@	approaches	5	6	0.52	-	287.5	29	87	0.90
	area	NoC	%	498	10	0.78	-	154.8	595	90	0.93
	@	@	area	356	10	0.79	+	0.8	351	90	0.91
	@	@	areas	142	10	0.74	-	474.2	244	90	0.92
	arm	NoC	%	63	10	0.89	-	1462.6	218	90	0.90
	@	@	arm	36	10	0.84	-	496.1	98	90	0.88
	@	@	arms	27	10	0.89	-	1002.1	120	90	0.91
	around	Adv	:	196	10	0.94	-	20.3	217	90	0.96
	around	Prep	:	137	10	0.87	-	572.9	249	90	0.96
	art	NoC	%	59	10	0.66	-	1635.7	223	90	0.85
	@	@	art	35	10	0.75	-	1487.6	166	90	0.83
	@	@	arts	24	10	0.51	-	220.1	57	90	0.88
	as	Adv	:	507	10	0.93	-	76.4	574	90	0.98
	as	Conj	:	1558	10	0.87	-	9631.4	3174	90	0.98
	as	Prep	:	916	10	0.81	-	5727.7	1873	90	0.96
	as if	Conj	:	64	10	0.92	-	802.5	167	90	0.87
	as well	Adv	%	516	10	0.92	+	9889.9	67	90	0.95
	as well as	Prep	:	55	10	0.80	-	1268.0	190	90	0.95
	ask	Verb	%	742	10	0.93	+	309.8	595	90	0.93
	@	@	ask	399	10	0.93	+	1997.2	170	90	0.92
	@	@	asked	218	10	0.94	-	528.2	348	90	0.91
